"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_book_type_general_notes_value","field_book_type_general_notes_format"
"node","book",0,2189,2189,"und",0,"זהו תעתיק של ספר בגרמנית.","filtered_html"
"node","book",0,2193,2193,"und",0,"החיבור הוא מקורי - נכתב ע\"י וייזל, אך פורסם קודם לכן בתוך \"המאסף\".","filtered_html"
"node","book",0,2194,2194,"und",0,"החיבור הוא מקורי - נכתב ע\"י וייזל, אך פורסם קודם לכן בתוך \"המאסף\".

הוא גם כולל קטע מתורגם - כפי שמציין זאת בפרוש וייזל.","filtered_html"
"node","book",0,2237,2237,"und",0,"הספר כולל חלקי טקסט שהופיעו בהמאסף - ראו חלון \"חוקר ומקורותיו\" שדה \"הערות\".","filtered_html"
"node","book",0,2271,2271,"und",0,"יש להוסיף מקורות טקסטואלים נוספים המצוטטים בספר.","filtered_html"
"node","book",0,2307,2307,"und",0,"טקסט דו-לשוני","filtered_html"
"node","book",0,2317,2317,"und",0,"בהקדמתו מביא המביא לדפוס מקורות רבים שמשמשים אותו להבהרת נושא השירה: מקורות יהודים/עבריים וגם כמה מקורות לועזיים.","filtered_html"
"node","book",0,2354,2354,"und",0,"הספר נחשב לפלגיאט לסיפרו של לינדא, ברוך <strong>ראשית לימודים</strong>. ב<ins>המאסף</ins> תק\"ן (רפ\"ה-פר\"ז) הופיעה רשימה חתומה על ידי \"צ-בע\" (לא ברור מי זה) שמאשימה את אופנהיים בגניבה ספרותית, וגם בטפשות ובבערות. בסוף הרשימה צרפו \"המאספים\" הצהרת תמיכה בטענותיו של המאשים (<ins>המאסף</ins> תק\"ן, רפח'). למעשה, אופנהיים העתיק רק קטעים בודדים מ<strong>ראשית לימודים</strong>. יש הקבלה בין דפים ו'-ח' ב<strong>עמוד השחר</strong> לבין דפים ב'-ה' ב<strong>ראשית לימודים</strong>, וגם כאן דילג אופנהיים על הקטע בו תומך לינדא במודל ההליוצנטרי.","filtered_html"
"node","book",0,2487,2487,"und",0,"לפי קלוזנר, מחזה זה הינו תרגום, פרפרזה ע\"פ ספרו של מטסטסיו: Betutia Liberata.","filtered_html"
