"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_motto_value","field_motto_format"
"node","book",0,2003,2003,"und",0,"Ein unnützes Leben - ein früher Tod. Goethe.","filtered_html"
"node","book",0,2004,2004,"und",0,"de mortuis nil nisi vere","filtered_html"
"node","book",0,2011,2011,"und",0,"-- Occidit! occidit!
Spes omnis et fortuna nostri Nominis! Horat.","filtered_html"
"node","book",0,2013,2013,"und",0,"Le Partage du brave homme est d’expliquer librement ses pensées. Celui qui n’ode regarder fixement les deux poles de la Vie humaine, la Religion et le Gouvernement, n’est qu’un lache.
Voltaire.","filtered_html"
"node","book",0,2022,2022,"und",0,"פתחו שערים ויבא גוי צדיק שמר אמנים
Jesa: 26,2.","filtered_html"
"node","book",0,2026,2026,"und",0,"La raison, le jugement viennent lentement: les préjugés accourent en foule, c’est d’eux qu’il faut préserver l’enfant. Roussau [Emile, Livre Troisième]","filtered_html"
"node","book",0,2046,2046,"und",0,"Eh Joseph noch den Scepter führte,

Was that Er - ? Er philosophirte.

Und nun seit Er den Scepter führt,

Wird was Er sonst philosophirt,

Mit seltner Weisheit ausgeführt.

Fühlts Völker! Jene güldne Zeit,

Die Plato wünschte, zeigt sich heut.

Den Scepter führt ein Weiser,

Es philosophirt ein Kaiser.","filtered_html"
"node","book",0,2076,2076,"und",0,"ישתה האדם בהסבו לחם עוני ומרורים ישתה וישכח רשו","filtered_html"
"node","book",0,2077,2077,"und",0,"סור מרע. ועשה טוב. בקש שלום ורדפהו.","filtered_html"
"node","book",0,2097,2097,"und",0,"גם מזה ומזה אל תנח את ידך.
(מאחורי עמ' השער)","filtered_html"
"node","book",0,2135,2135,"und",0,"Erkenntniß, Vernunftgründe, Ueberzeugung, diese allein bringen Grundsätze hervor, die durch Ansehen und Beyspiel, in Sitten übergehen können. Und hier ist es, wo die Religion dem Staat zu Hülfe kommen, und die Kirche eine Stütze der bürgerlichen Glückseligkeit werden soll. Ihr kommt es zu, das Volk auf die nachdrücklichste Weise von der Wahrheit edler Grundsätze und Gesinnungen zu überführen; ihnen zu zeigen, daß die Pflichten gegen Menschen auch Pflichten gegen Gott seyn, die zu übertreten schon an und für sich höchstes Elend sey; daß dem Staate dienen, ein wahrer Gottesdienst, Recht und Gerechtigkeit der Befehl Gottes, und Wohlthun sein höchster [allerheiligster] Wille sey, und daß wahre Erkenntniß des Schöpfers keinen Menschenhaß in der Seele zurücklassen könne.
Mendelssohn im Jerusalem. [Erster Abschnitt]","filtered_html"
"node","book",0,2136,2136,"und",0,"Ein Heide kam zu Samay, und sprach zu ihm: „Bekehre mich zum Judenthum, doch so, daß ich das Gesetz lerne während der Zeit, als ich auf einem Fuße stehen kann.“ Jener stieß ihn von sich mit dem Maaßstabe, so er eben in der Hand hatte. Nun kam er zu Hillel, that die nämliche Zumuthung, und dieser sprach: „Was dir nicht gefällt, dieß thue einem andern nicht. Dieß ist das ganze Gesetz; das Uebrige nur Kommentar, - itzt gehe und lerne.“ 
Talmud Trakt. Sabbath, Fol. 31.","filtered_html"
"node","book",0,2137,2137,"und",0,"\"והיה אמונת עתיך חסן ישועות חכמת ודעת/ יראת-יי היא אוצרו\" (ישעיה ל\"ג)","filtered_html"
"node","book",0,2152,2152,"und",0,"\"ברצות ה' דרכי איש/ גם אויביו ישלים אתו. משלי טז' ז'\"

Lorsque Dieu agrée la conduite de l'homme, il 
réduit à la paix ses ennemis mêmes. 
Proverbes, c. XVI, v. 7","filtered_html"
"node","book",0,2174,2174,"und",0,"Wie Wasserleitung ist Königsherz
יחל ישראל אל-יהוה כי-
עם-יהוה החסד והרבה עמו פדות
Psalm, 130. V. 7
In der Hand des Ewigen;
Er leitet nach Wohlgefallen es.
Sprüche, Kap. 21. V. 1","filtered_html"
"node","book",0,2209,2209,"und",0,"כטל בוקר אשר יזל עלי שושנה
יפתח חיקה יפיק ריחה ימלא מיש
ואמרות בין בחיק עלם כמו תפעלנה
הקיץ לבו הכין רוחו אהוב המישו
המאסף","filtered_html"
"node","book",0,2210,2210,"und",0,"סוף דבר האלהים ירא
חקתיו ומצותיו שמור
לחכמה אחותי את אמור
ומודע לבינה תקרא
(קהלת יב', יד' משלי ז' ד)","filtered_html"
"node","book",0,2221,2221,"und",0,"Vast chain of being! Wich from God began/ Natures AEthereal, human, angel, man,/ Beast, bird, fish, insect, what no eye can see/ No glass can reach; from infinite to thee,/ From thee to nothing. Pope Es. on man Epis. I.","filtered_html"
"node","book",0,2287,2287,"und",0,"\"ש[י]מעו מוסר וחכמו/ ואל ת[י]פרעו (משלי ח' ל\"ג)","filtered_html"
"node","book",0,2317,2317,"und",0,"\"הלא-אזן מלין תבחן וחך אכל יטעם-לו\" איוב יב, יא","filtered_html"
"node","book",0,2405,2405,"und",0,"\"בארח-צדקה חיים/ ודרך נתיבה אל-מות\" (משלי י\"ב א\"ח). 
בעמוד השער","filtered_html"
"node","book",0,2422,2422,"und",0,"בעמ' [1]: יהוה בחכמה יסד ארץ בנן שמים בתבונה (משלי ג י\"ט)","filtered_html"
"node","book",0,2424,2424,"und",0,"\"האומרים לרע טוב ולטוב רע שמים חשך לאור/  __ לחשך שמים מר למתוק ומתוק למר:/ _חכמים בעיניהם ונגד פניהם נבונים:/ _גברים לשתות יין ואנשי חיל למסך שכר:/ _יקי רשע עקב שחר וצדקת צדיקים יסירו ממנו\"
ישעי' ק' ה' פ' כ', כ\"א, כ\"ב, כ\"ג","filtered_html"
"node","book",0,2425,2425,"und",0,"כי כן רוח היא באנוש ונשמת שדי תבינם. ושרשות הגבראים איש על מקומו יכינם. וקשר זן אל זן ואיש לאיש יחדו המספרים כבוד אל ומעשי ידיו.","filtered_html"
"node","book",0,2431,2431,"und",0,"\"הם קנאוני בלא אל - כעסוני בהבליהם: - ואני אקניאם בלא עם - - - [דברים ק' ל\"ב פ' כ\"א]\"","filtered_html"
"node","book",0,2465,2465,"und",0,"\"אשרי משכיל אל דל ביום רעה ימלטהו יי/ יי ישמרהו ויחיהו ואשר בארץ\", תלים [!] מא","filtered_html"
