tid,vid,"name","description","format",weight
164,1,"Minkowce",NULL,"filtered_html",0
165,1,"Minsk",NULL,"filtered_html",0
166,1,"Mitau",NULL,"filtered_html",0
167,1,"Mohilev",NULL,"filtered_html",0
168,1,"Münden",NULL,"filtered_html",0
169,1,"Munich",NULL,"filtered_html",0
170,1,"Naarden",NULL,"filtered_html",0
171,1,"Nachod",NULL,"filtered_html",0
172,1,"Nancy",NULL,"filtered_html",0
173,1,"Netivot",NULL,"filtered_html",0
174,1,"Neubidschow",NULL,"filtered_html",0
175,1,"Neuhaus",NULL,"filtered_html",0
176,1,"Neustrelitz",NULL,"filtered_html",0
177,1,"Neuwied",NULL,"filtered_html",0
178,1,"Neuzedlisch",NULL,"filtered_html",0
179,1,"New York",NULL,"filtered_html",0
180,1,"Niederehnheim",NULL,"filtered_html",0
181,1,"Niederlande",NULL,"filtered_html",0
182,1,"Nikolsburg",NULL,"filtered_html",0
183,1,"Nimwegen",NULL,"filtered_html",0
184,1,"Nowy Dwor Mazowiecki",NULL,"filtered_html",0
185,1,"Nuremberg",NULL,"filtered_html",0
186,1,"Ofen",NULL,"filtered_html",0
187,1,"Offenbach",NULL,"filtered_html",0
188,1,"Oleksinets Novy",NULL,"filtered_html",0
189,1,"Opatow",NULL,"filtered_html",0
190,1,"Padua",NULL,"filtered_html",0
191,1,"Pardubitz",NULL,"filtered_html",0
192,1,"Paris",NULL,"filtered_html",0
193,1,"Pest",NULL,"filtered_html",0
194,1,"Pfalz",NULL,"filtered_html",0
195,1,"Pinczow",NULL,"filtered_html",0
196,1,"Piotrków",NULL,"filtered_html",0
197,1,"Pirnitz",NULL,"filtered_html",0
198,1,"Polen",NULL,"filtered_html",0
199,1,"Polna",NULL,"filtered_html",0
200,1,"Porizk",NULL,"filtered_html",0
201,1,"Posen",NULL,"filtered_html",0
202,1,"Potsdam",NULL,"filtered_html",0
203,1,"Prag",NULL,"filtered_html",0
204,1,"Prague",NULL,"filtered_html",0
205,1,"Prenzlau",NULL,"filtered_html",0
206,1,"Pressburg/Bratislava",NULL,"filtered_html",0
207,1,"Prossnitz",NULL,"filtered_html",0
208,1,"Przedbórz",NULL,"filtered_html",0
209,1,"Ragendorf",NULL,"filtered_html",0
210,1,"Rakonitz",NULL,"filtered_html",0
211,1,"Ratibor",NULL,"filtered_html",0
212,1,"Rawa",NULL,"filtered_html",0
213,1,"Regensburg",NULL,"filtered_html",0
214,1,"Reggio",NULL,"filtered_html",0
215,1,"Reichenberg",NULL,"filtered_html",0
216,1,"Reschow",NULL,"filtered_html",0
217,1,"Riga",NULL,"filtered_html",0
218,1,"Rödelheim",NULL,"filtered_html",0
219,1,"Rom",NULL,"filtered_html",0
220,1,"Rotenburg",NULL,"filtered_html",0
221,1,"Rotterdam",NULL,"filtered_html",0
222,1,"Rszesz?w",NULL,"filtered_html",0
223,1,"Samocz",NULL,"filtered_html",0
224,1,"Samuel de Waal",NULL,"filtered_html",0
225,1,"Sandersleben",NULL,"filtered_html",0
226,1,"Satanow",NULL,"filtered_html",0
227,1,"Schklov",NULL,"filtered_html",0
228,1,"Schottland",NULL,"filtered_html",0
229,1,"Schotzlar",NULL,"filtered_html",0
230,1,"Schwedt",NULL,"filtered_html",0
231,1,"Schwerin",NULL,"filtered_html",0
232,1,"Seelau",NULL,"filtered_html",0
233,1,"Seesen",NULL,"filtered_html",0
234,1,"Senftenberg",NULL,"filtered_html",0
235,1,"Shkloŭ",NULL,"filtered_html",0
236,1,"Siegen",NULL,"filtered_html",0
237,1,"Slawkowiec",NULL,"filtered_html",0
238,1,"Slonim",NULL,"filtered_html",0
239,1,"St. Petersburg",NULL,"filtered_html",0
240,1,"Stampfen",NULL,"filtered_html",0
241,1,"Stargard",NULL,"filtered_html",0
242,1,"Stettin",NULL,"filtered_html",0
243,1,"Stockholm",NULL,"filtered_html",0
244,1,"Stralsund",NULL,"filtered_html",0
245,1,"Strasbourg",NULL,"filtered_html",0
246,1,"Strelitz",NULL,"filtered_html",0
247,1,"Stuttgart",NULL,"filtered_html",0
248,1,"Sudilkov",NULL,"filtered_html",0
249,1,"Sulzbach",NULL,"filtered_html",0
250,1,"Szereszów",NULL,"filtered_html",0
251,1,"Tachau",NULL,"filtered_html",0
252,1,"Tarnau",NULL,"filtered_html",0
253,1,"Tarnopol",NULL,"filtered_html",0
254,1,"Tel Aviv",NULL,"filtered_html",0
255,1,"Teplitz",NULL,"filtered_html",0
256,1,"The Hague",NULL,"filtered_html",0
257,1,"Tismenitsa",NULL,"filtered_html",0
258,1,"Torino",NULL,"filtered_html",0
259,1,"Trebitsch",NULL,"filtered_html",0
260,1,"Triesch",NULL,"filtered_html",0
261,1,"Triest",NULL,"filtered_html",0
262,1,"Troplowitz",NULL,"filtered_html",0
263,1,"Tschaslau",NULL,"filtered_html",0
264,1,"Tschoplowitz b. Brieg",NULL,"filtered_html",0
265,1,"Tschufut-Kale",NULL,"filtered_html",0
266,1,"Tübingen",NULL,"filtered_html",0
267,1,"Turiisk",NULL,"filtered_html",0
268,1,"Turin",NULL,"filtered_html",0
269,1,"Turnau",NULL,"filtered_html",0
270,1,"Tysmienica",NULL,"filtered_html",0
271,1,"Utrecht",NULL,"filtered_html",0
272,1,"Venice",NULL,"filtered_html",0
273,1,"Vienna",NULL,"filtered_html",0
274,1,"Vilnius",NULL,"filtered_html",0
275,1,"Wamburg",NULL,"filtered_html",0
276,1,"Warsaw",NULL,"filtered_html",0
277,1,"Wasiliszki",NULL,"filtered_html",0
278,1,"Weikersheim",NULL,"filtered_html",0
279,1,"Wien",NULL,"filtered_html",0
280,1,"Witkowo",NULL,"filtered_html",0
281,1,"Wohlin",NULL,"filtered_html",0
282,1,"Worms",NULL,"filtered_html",0
283,1,"Wriezen",NULL,"filtered_html",0
284,1,"Würzburg",NULL,"filtered_html",0
285,1,"Zamosc",NULL,"filtered_html",0
286,1,"Zell",NULL,"filtered_html",0
287,1,"Zhovkva",NULL,"filtered_html",0
288,1,"Zolochiv",NULL,"filtered_html",0
289,1,"Zuellichau",NULL,"filtered_html",0
290,1,"Zülz",NULL,"filtered_html",0
291,1,"Zürich",NULL,"filtered_html",0
292,1,"אבערראבבינער",NULL,"filtered_html",0
293,1,"אמשניץ",NULL,"filtered_html",0
294,1,"אפען",NULL,"filtered_html",0
295,1,"דיהרנפורט",NULL,"filtered_html",0
296,1,"דיניויץ",NULL,"filtered_html",0
297,1,"ווערדין",NULL,"filtered_html",0
298,1,"ויעלקאשט",NULL,"filtered_html",0
299,1,"ולאטאווי",NULL,"filtered_html",0
300,1,"זאמחוב",NULL,"filtered_html",0
301,1,"טורהאוויץ",NULL,"filtered_html",0
302,1,"טשערנאוויץ",NULL,"filtered_html",0
303,1,"יוזעפאף",NULL,"filtered_html",0
304,1,"לעטשוב=לאצוב",NULL,"filtered_html",0
305,1,"מיץ",NULL,"filtered_html",0
306,1,"נאווי דוואהר",NULL,"filtered_html",0
307,1,"סטאבנץ",NULL,"filtered_html",0
308,1,"קאסנטין הישנה",NULL,"filtered_html",0
309,1,"ראנינבורג",NULL,"filtered_html",0
310,1,"שערשאווי",NULL,"filtered_html",0
311,1,"שקוד האזפוט",NULL,"filtered_html",0
312,9,"anthology",NULL,"filtered_html",0
313,9,"edition",NULL,"filtered_html",0
314,9,"expansion - commentary added",NULL,"filtered_html",0
315,9,"expansion - new introduction",NULL,"filtered_html",0
316,9,"expansion - glossary added",NULL,"filtered_html",0
317,9,"rewrite",NULL,"filtered_html",0
318,9,"first printing of manuscript",NULL,"filtered_html",0
319,9,"other additions",NULL,"filtered_html",0
320,3,"Belles-lettres",NULL,"filtered_html",0
321,3,"Allegory",NULL,"filtered_html",0
322,3,"Novel",NULL,"filtered_html",0
323,3,"Parable",NULL,"filtered_html",0
324,3,"Bi'ur",NULL,"filtered_html",0
325,3,"Biblical adaptation",NULL,"filtered_html",0
326,3,"Biblical history",NULL,"filtered_html",0
327,3,"Biblical stories",NULL,"filtered_html",0
328,3,"Blessings",NULL,"filtered_html",0
329,3,"Book review",NULL,"filtered_html",0
330,3,"Catechisms",NULL,"filtered_html",0
331,3,"Dialogue",NULL,"filtered_html",0
332,3,"Epistolary literature",NULL,"filtered_html",0
333,3,"Epistolary literature (fictional)",NULL,"filtered_html",0
334,3,"Epistolary literature (real)",NULL,"filtered_html",0
335,3,"Guidebook",NULL,"filtered_html",0
336,3,"Informative text",NULL,"filtered_html",0
337,3,"Lecture",NULL,"filtered_html",0
338,3,"Lexicon",NULL,"filtered_html",0
339,3,"Dictionary",NULL,"filtered_html",0
340,3,"Encyclopedia",NULL,"filtered_html",0
341,3,"Manifesto",NULL,"filtered_html",0
342,3,"Moral literature",NULL,"filtered_html",0
343,3,"Personal writing",NULL,"filtered_html",0
344,3,"Autobiography",NULL,"filtered_html",0
345,3,"Biography",NULL,"filtered_html",0
346,3,"Memoirs",NULL,"filtered_html",0
347,3,"Play",NULL,"filtered_html",0
348,3,"Comedy",NULL,"filtered_html",0
349,3,"Purim spiel",NULL,"filtered_html",0
350,3,"Satire",NULL,"filtered_html",0
351,3,"Poems",NULL,"filtered_html",0
352,3,"Biblical epic poetry",NULL,"filtered_html",0
353,3,"Elegies",NULL,"filtered_html",0
354,3,"Piyyut",NULL,"filtered_html",0
355,3,"Poems for special occasions",NULL,"filtered_html",0
356,3,"Prose poems",NULL,"filtered_html",0
357,3,"Meliza",NULL,"filtered_html",0
358,3,"Other poetry",NULL,"filtered_html",0
359,3,"Polemics",NULL,"filtered_html",0
360,3,"Proverbs and sayings",NULL,"filtered_html",0
361,3,"Aphorisms",NULL,"filtered_html",0
362,3,"Epigrams",NULL,"filtered_html",0
363,3,"Proverbs",NULL,"filtered_html",0
364,3,"Sayings",NULL,"filtered_html",0
365,3,"Pseudo-commentary",NULL,"filtered_html",0
366,3,"Religious literature",NULL,"filtered_html",0
367,3,"Aggadah/Midrash",NULL,"filtered_html",0
368,3,"Commentary",NULL,"filtered_html",0
369,3,"Halachic literature",NULL,"filtered_html",0
370,3,"Liturgy",NULL,"filtered_html",0
371,3,"Haggadah",NULL,"filtered_html",0
372,3,"Prayers",NULL,"filtered_html",0
373,3,"Selichot",NULL,"filtered_html",0
374,3,"Tchines",NULL,"filtered_html",0
375,3,"Report",NULL,"filtered_html",0
376,3,"Riddles",NULL,"filtered_html",0
377,3,"Scientific literature",NULL,"filtered_html",0
378,3,"Essay",NULL,"filtered_html",0
379,3,"Treatise",NULL,"filtered_html",0
380,3,"Scientific text model",NULL,"filtered_html",0
381,3,"Concise phrasing",NULL,"filtered_html",0
382,3,"Frequent use of numbers",NULL,"filtered_html",0
383,3,"Professional phrasing",NULL,"filtered_html",0
384,3,"Scientific instruments mentioned",NULL,"filtered_html",0
385,3,"Speech",NULL,"filtered_html",0
386,3,"Story",NULL,"filtered_html",0
387,3,"Textbook",NULL,"filtered_html",0
388,3,"Hornbook",NULL,"filtered_html",0
389,3,"Reader",NULL,"filtered_html",0
390,3,"Travel literature",NULL,"filtered_html",0
391,13,"book",NULL,"filtered_html",0
392,13,"manuscript",NULL,"filtered_html",0
393,13,"letter",NULL,"filtered_html",0
394,13,"petition",NULL,"filtered_html",0
395,13,"journal",NULL,"filtered_html",0
396,13,"other",NULL,"filtered_html",0
397,15,"Jewish",NULL,"filtered_html",0
398,15,"Catholic",NULL,"filtered_html",0
399,15,"Protestant",NULL,"filtered_html",0
400,15,"Other Christian",NULL,"filtered_html",0
401,15,"Other religion",NULL,"filtered_html",0
402,6,"Author",NULL,NULL,0
403,6,"Translator",NULL,NULL,0
404,6,"Editor",NULL,NULL,0
405,6,"Mevi La'Dfus (Producer)",NULL,NULL,0
406,6,"Commentator",NULL,NULL,0
407,5,"Male",NULL,NULL,0
408,1,"Commentator",NULL,NULL,0
409,8,"modern",NULL,NULL,0
410,2,"monolingual",NULL,NULL,0
411,14,"Montag",NULL,NULL,0
412,7,"left",NULL,NULL,0
413,10,"Gothic",NULL,NULL,0
414,10,"Latin",NULL,NULL,0
415,11,"German",NULL,NULL,0
416,11,"French",NULL,NULL,0
417,2,"bilingual",NULL,NULL,0
418,11,"Latin",NULL,NULL,0
419,14,"Michaelis",NULL,NULL,0
420,17,"general Jewish",NULL,NULL,0
421,18,"Emancipation",NULL,NULL,0
422,18,"Political and social revolutions",NULL,NULL,0
423,19,"parallel",NULL,NULL,0
424,12,"bottom of pages",NULL,NULL,0
425,14,"Christian Friedrich Voss",NULL,NULL,0
426,17,"general - unspecified",NULL,NULL,0
427,17,"political authorities",NULL,NULL,0
428,18,"Religious tolerance/ intolerance",NULL,NULL,0
429,19,"consecutive",NULL,NULL,0
430,14,"Orientalische Buchdruckerei - חברת חנוך נערים",NULL,NULL,0
431,18,"Religious rites",NULL,NULL,0
432,12,"end of book",NULL,NULL,0
433,14,"Friedrich Maurer",NULL,NULL,0
434,18,"Philosophy",NULL,NULL,0
435,18,"Physics",NULL,NULL,0
436,11,"English",NULL,NULL,0
437,14,"Levy Alexander",NULL,NULL,0
438,17,"general non-Jewish",NULL,NULL,0
439,11,"Hebrew",NULL,NULL,0
440,14,"Orell",NULL,NULL,0
441,14,"Geßner",NULL,NULL,0
442,14,"Füßli & Co.",NULL,NULL,0
443,18,"Atheism",NULL,NULL,0
444,18,"Edict of toleration",NULL,NULL,0
445,18,"Religious fanaticism",NULL,NULL,0
446,14,"Gattey",NULL,NULL,0
447,14,"Levrault - לוורו",NULL,NULL,0
448,11,"Italian",NULL,NULL,0
449,14,"Heinrich Frölich",NULL,NULL,0
450,18,"Aesthetics",NULL,NULL,0
451,18,"Anthropology",NULL,NULL,0
452,18,"Metaphysics",NULL,NULL,0
453,18,"Morals",NULL,NULL,0
454,10,"square with no punctuation",NULL,NULL,0
455,10,"square with punctuation",NULL,NULL,0
456,10,"Rashi font",NULL,NULL,0
457,8,"non-modern",NULL,NULL,0
458,14,"קעניגליכן בוכדרוקערייא",NULL,NULL,0
459,18,"Hebrew",NULL,NULL,0
460,18,"Patriotism",NULL,NULL,0
461,18,"Wars",NULL,NULL,0
462,14,"Carl Friedrich Amelang",NULL,NULL,0
463,14,"Johann Andreas Kunze",NULL,NULL,0
464,14,"Gottfried Hayn",NULL,NULL,0
465,14,"Carl Schaumburg",NULL,NULL,0
466,18,"Logic",NULL,NULL,0
467,16,"N/A",NULL,NULL,0
468,14,"Johann Friedrich Starcke",NULL,NULL,0
469,14,"Matthias Rieger",NULL,NULL,0
470,14,"Imperiale - דפוס הקיסר",NULL,NULL,0
471,14,"Michel Lambert",NULL,NULL,0
472,14,"Baumgärtner - באומגרטנר",NULL,NULL,0
473,18,"Ethics",NULL,NULL,0
474,14,"Späth",NULL,NULL,0
475,17,"Torah scholars",NULL,NULL,0
476,18,"Commandments",NULL,NULL,0
477,18,"Orthodoxy",NULL,NULL,0
478,18,"Religious beliefs",NULL,NULL,0
479,14,"Schöne",NULL,NULL,0
480,18,"Christianity",NULL,NULL,0
481,18,"Talmud",NULL,NULL,0
482,10,"Tsena u'rena font",NULL,NULL,0
483,14,"Johann Friedrich Driest - י\"פ דריסט",NULL,NULL,0
484,14,"Michael Gröll",NULL,NULL,0
485,18,"Manners",NULL,NULL,0
486,18,"Rabbinical establishment",NULL,NULL,0
487,14,"Karl Barth",NULL,NULL,0
488,14,"F. Vieweg",NULL,NULL,0
489,18,"Bible",NULL,NULL,0
490,18,"Central historical figures",NULL,NULL,0
491,18,"Important personalities in Jewish culture",NULL,NULL,0
492,18,"Translation",NULL,NULL,0
493,14,"Vieweg",NULL,NULL,0
494,14,"Gebr. Levrault",NULL,NULL,0
495,11,"Greek",NULL,NULL,0
496,14,"Graß & Barth",NULL,NULL,0
497,8,"don't know",NULL,NULL,0
498,14,"Rudolph Gräffer",NULL,NULL,0
499,17,"children",NULL,NULL,0
500,17,"young adults",NULL,NULL,0
501,17,"teachers",NULL,NULL,0
502,14,"Göschen",NULL,NULL,0
503,18,"Charity",NULL,NULL,0
504,18,"Religious reform",NULL,NULL,0
505,14,"Joseph Stahel",NULL,NULL,0
506,18,"Anti-Semitism",NULL,NULL,0
507,18,"Conversion",NULL,NULL,0
508,18,"False enlightenment",NULL,NULL,0
509,14,"Grassischen Stadtbuchdruckerey",NULL,NULL,0
510,7,"right and left",NULL,NULL,0
511,14,"האחים שמואל ויהודה בון",NULL,NULL,0
512,14,"Daniel Christoph Kanter - דניאל קריסטאף קאנתר",NULL,NULL,0
513,14,"Bran",NULL,NULL,0
514,14,"Carl Ferdinand Beck",NULL,NULL,0
515,14,"F. Bruder",NULL,NULL,0
516,18,"Education",NULL,NULL,0
517,14,"Stamperia Governiale",NULL,NULL,0
518,18,"Study of Languages",NULL,NULL,0
519,11,"German with Hebrew letters",NULL,NULL,0
520,18,"Yiddish-deutsch",NULL,NULL,0
521,14,"Gottlieb Leberecht Hartung",NULL,NULL,0
522,17,"maskilim",NULL,NULL,0
523,17,"men",NULL,NULL,0
524,18,"Travels",NULL,NULL,0
525,7,"right",NULL,NULL,0
526,2,"trilingual",NULL,NULL,0
527,18,"Geography",NULL,NULL,0
528,18,"Natural history (zoology/botany/mineralogy)",NULL,NULL,0
529,18,"World history",NULL,NULL,0
530,18,"Biblical criticism",NULL,NULL,0
531,14,"Gottlieb Haase",NULL,NULL,0
532,18,"Bourgeoisie",NULL,NULL,0
533,18,"Professions and occupations",NULL,NULL,0
534,14,"Wilhelm Gottlieb Korn",NULL,NULL,0
535,18,"Censorship",NULL,NULL,0
536,14,"A. Alexander",NULL,NULL,0
537,14,"Musée des aveugles - מוזה דז אובגלה",NULL,NULL,0
538,10,"handwritten",NULL,NULL,0
539,14,"W.J. and J. Richardson",NULL,NULL,0
540,17,"community authorities",NULL,NULL,0
541,18,"Natural rights",NULL,NULL,0
542,18,"Productivity",NULL,NULL,0
543,18,"Professionalization",NULL,NULL,0
544,18,"Utilitarism",NULL,NULL,0
545,14,"P. Delaforest",NULL,NULL,0
546,14,"Friedrich Franke",NULL,NULL,0
547,18,"Superstitions",NULL,NULL,0
548,18,"Theology",NULL,NULL,0
549,14,"Christian Friedrich Voss & Sohn",NULL,NULL,0
550,18,"Deism",NULL,NULL,0
551,18,"Important personalities in culture",NULL,NULL,0
552,14,"יאהאן טילעיאהאן טילע",NULL,NULL,0
553,18,"Mourning",NULL,NULL,0
554,14,"Moses Philippssohn - משה פיליפזון",NULL,NULL,0
555,12,"end of chapters",NULL,NULL,0
556,14,"Gottlieb August Lange",NULL,NULL,0
557,14,"Imprimerie de la Cour",NULL,NULL,0
558,14,"Hampe - המפה",NULL,NULL,0
559,14,"Waisenhaus-Buchdruckerei in Mainz - בית יתומים בחנות ספרים במיינץ",NULL,NULL,0
560,14,"Franz Sommer - פראנץ זאממער",NULL,NULL,0
561,14,"Eliasar Moses Cohen",NULL,NULL,0
562,14,"Giguet et Michaud",NULL,NULL,0
563,14,"Josef A. I. von Baumeister",NULL,NULL,0
564,16,"Salomon Maimon's Lebensgeschichte",NULL,NULL,0
565,18,"Kabbala",NULL,NULL,0
566,18,"Matchmaking",NULL,NULL,0
567,18,"Rationalism",NULL,NULL,0
568,18,"Religious criticism",NULL,NULL,0
569,18,"Social criticism",NULL,NULL,0
570,14,"Juden zu Lüneville und Sarguemines",NULL,NULL,0
571,14,"Petit und Schöne",NULL,NULL,0
572,14,"August Mylius",NULL,NULL,0
573,18,"Halachah",NULL,NULL,0
574,14,"Gottlieb Friedrich Schniedes",NULL,NULL,0
575,14,"Gaedicke - האחים",NULL,NULL,0
576,18,"Death",NULL,NULL,0
577,14,"Hitzig",NULL,NULL,0
578,14,"Hübschmann",NULL,NULL,0
579,14,"Ernst Felisch",NULL,NULL,0
580,18,"Gender",NULL,NULL,0
581,14,"Wilhelm Dieterici",NULL,NULL,0
582,14,"Zeitler",NULL,NULL,0
583,14,"Tommasini",NULL,NULL,0
584,14,"Heinrich Gottfried Zunkel",NULL,NULL,0
585,14,"Schwan",NULL,NULL,0
586,18,"Medicine",NULL,NULL,0
