"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_title_in_latin_characters_value","field_title_in_latin_characters_format"
"node","book",0,2074,2074,"und",0,"Avṭalyon: ṿe-hu mavo ha-limud li-neʻare bene Yisraʼel ule-khol ha-ḥafetsim, bi-leshon ʻEver",NULL
"node","book",0,2075,2075,"und",0,"Evel yaḥid",NULL
"node","book",0,2076,2076,"und",0,"Agadat Arba' kosot",NULL
"node","book",0,2077,2077,"und",0,"Igerot",NULL
"node","book",0,2078,2078,"und",0,"Igeret eder ha-yaḳar",NULL
"node","book",0,2079,2079,"und",0,"Igeret orḥot ʻolam: igeret teman Petaḥ Tiḳṿah, yesod moreh ṿe-sod torah",NULL
"node","book",0,2080,2080,"und",0,"Igeret bet tefilah",NULL
"node","book",0,2081,2081,"und",0,"Igeret ha-rishon le-ḥanekh la-naʻar bi-khetav ṿe-lashon: bi-shete ha-leshonot",NULL
"node","book",0,2082,2082,"und",0,"Ahavat Tsiyon",NULL
"node","book",0,2083,2083,"und",0,"Otsar ha-shorashim 1: Otsar ha-shorashim kolel shorshe ha-lashon ha-ʻIvrit ʻim pitron horaʼotehem ha-shonim ... ṿe-haʻataḳatam ... me-ʻIvrit le-Ashkenazit ume-Ashkenazit le-ʻIvrit",NULL
"node","book",0,2084,2084,"und",0,"Otsar ha-shorashim 2: Otsar ha-shorashim ḥeleḳ sheni kolel ʻIvrit ṿe-Ashkenazit min ot m ʻad ot t",NULL
"node","book",0,2085,2085,"und",0,"Otsar ha-shorashim 3: Otsar ha-shorashim ḥeleḳ shelishi kolel Ashkenazit ṿe-ʻIvrit li-metso ish ish mevuḳasho milah ashkenazit be-ha-ʻataḳat lashon ʻIvrit",NULL
"node","book",0,2086,2086,"und",0,"Or Ester oder Beleuchtung der im Talmud von Babylon und Jerusalem, in den Targumim und Midraschim vorkommenden fremden, besonders lateinischen Wörter. Von Simon und Mardochai Bondi. Herausgegeben und besorgt von der Israelitischen Haupt- und Freischule zu Deßau, zum Besten dieser Anstalt.

Or Ester ṿe-huʼ beʼur maspik le-milot zarot ... ba-talmud bavli vi-yerushalmi uva-midrashim uva-targumim ... bi-ferat me-leshonot Yeṿanit u-romit",NULL
"node","book",0,2087,2087,"und",0,"Or ṭov",NULL
"node","book",0,2088,2088,"und",0,"Or lusṭro: la-ḥanokh ba-hem ha-neʻarim, bi-leshon laʻaz",NULL
"node","book",0,2089,2089,"und",0,"Or li-netivah: ṿe-hu haḳdamah le-ḥibur Netivot ha-shalom ha-kolel ḥameshet ḥumshe Torah ʿim tiḳun sofrim ṿe-tirgum Ashkenazi u-veʾur",NULL
"node","book",0,2090,2090,"und",0,"Orah ṿe-simḥah: ... la-ʻavodat yeme ha-Purim ... rov ha-dinim ha-shayakhim li-shene ha-yamim ... divre torah lehagot ba-hem ... ṿe-shirim",NULL
"node","book",0,2091,2091,"und",0,"Orah ṿe-simḥah la-Yehudim: ḳol rinah ṿe-todah be-vet Ḳodshenu poh ḳ. ḳ. Ashkenazim ... be-yom ba la-ʿir ha-zot ... Prints un. Printses fun Oranya un. Nasoya ṿe-khu.

Vreugde Lof en Dankbaarheyd gecelebreerd by de Hoogduitsche Jooden in der selver synagogue ten dage dat bunne doorluchtige en Koninglyke Hoogheden de Heere Prince en Mevrouwe de Princesse, van Oranje & Nassau. &c. &c.  &c. Onse stad met hoogst derselver teegen woordigheyd vereerd hebben",NULL
"node","book",0,2092,2092,"und",0,"Ish ʿanaṿ",NULL
"node","book",0,2093,2093,"und",0,"El rashe ʻam ḳodesh bene Yisraʼel: yoshve Tsarfat ṿe-Iṭaliya",NULL
"node","book",0,2094,2094,"und",0,"Eleh bene ha-neʻurim",NULL
"node","book",0,2095,2095,"und",0,"Eleh divre ha-berit: ha-ḥoḳim ṿeha-mishpaṭim",NULL
"node","book",0,2096,2096,"und",0,"Eleh hem ha-shirim",NULL
"node","book",0,2097,2097,"und",0,"Alon bakhut",NULL
"node","book",0,2098,2098,"und",0,"Amirah neʿimah",NULL
"node","book",0,2099,2099,"und",0,"Amar ha-tsaʿir ...",NULL
"node","book",0,2100,2100,"und",0,"Imre shefer: kolelim ʻinyene Torah u-musar li-yelde bene Yisraʼel",NULL
"node","book",0,2101,2101,"und",0,"An di elṭern der ṿilhelms-shiler",NULL
"node","book",0,2102,2102,"und",0,"Anḳat ha-shir",NULL
"node","book",0,2103,2103,"und",0,"Aḳṭa Ester miṭ Aḥashṿeros

Akta Ester, welches 1720 durch die Bachurim des Prager Oberrabbiners David Oppenheim auf einem ordentlichen Theatrum gespielt worden",NULL
"node","book",0,2104,2104,"und",0,"Eshkar aḳriv",NULL
"node","book",0,2105,2105,"und",0,"Beʾur milot ha-higayon",NULL
"node","book",0,2106,2106,"und",0,"Bet ha-osef

Beth Haossef, 
enthaltend 
verschiedene gramatikalische und philologische Untersuchungen in der hebraischen Sprache 
von Salomo Lövisohn",NULL
"node","book",0,2107,2107,"und",0,"Bet ha-sefer 1",NULL
"node","book",0,2108,2108,"und",0,"Bet ha-sefer 2",NULL
"node","book",0,2109,2109,"und",0,"Beit Yaʿakov",NULL
"node","book",0,2110,2110,"und",0,"Banot ha-shir",NULL
"node","book",0,2111,2111,"und",0,"Ber perets",NULL
"node","book",0,2112,2112,"und",0,"Briv shteller oder patshegen ha-ketav",NULL
"node","book",0,2113,2113,"und",0,"Birkat poʿalim",NULL
"node","book",0,2114,2114,"und",0,"Bat Yiftaḥ: melitsah naʻeh kolel tokhaḥat musar haskel le-shir be-shirim",NULL
"node","book",0,2115,2115,"und",0,"Gevulot Arets",NULL
"node","book",0,2116,2116,"und",0,"Gebeṭe der Yudn oyf dos gantse Yohr",NULL
"node","book",0,2117,2117,"und",0,"Gilat ve-renen: be-yom ḥatunah simḥah rabah shel ha-neʾehavim ṿeha-neʻimim bene ha-yaḥas ṿeha-maʻalah he-ḥatan",NULL
"node","book",0,2118,2118,"und",0,"Gemul ʻAtalyah: melitsah hi kolelet divre ha-yamim le-Yoʼash ha-melekh",NULL
"node","book",0,2119,2119,"und",0,"Gan naʻul 1: Levanon shem ha-kolel la-ʻinyanim ha-meḥubarim le-varer ule-laven yesodot ṿe-shorshe leshon ha-ḳodesh meshalaṿ u-melitsotaṿ",NULL
"node","book",0,2120,2120,"und",0,"Gan naʻul 2: Levanon shem ha-kolel la-ʻinyanim ha-meḥubarim le-varer ule-laven yesodot ṿe-shorshe leshon ha-ḳodesh meshalaṿ u-melitsotaṿ",NULL
"node","book",0,2121,2121,"und",0,"Davar be-ʿito: devarim neʾemarim le-zikhron ahavah ṿe-reʿut, ben ... ḳehilot ʿadat Yeshurun be-Alṭona uve-Hamburg",NULL
"node","book",0,2122,2122,"und",0,"Divre Yozef ha-sheni ha-aḥaronim",NULL
"node","book",0,2123,2123,"und",0,"Divre rivot 1",NULL
"node","book",0,2124,2124,"und",0,"Divre rivot 2",NULL
"node","book",0,2125,2125,"und",0,"Divre shalom ṿe-emet 1",NULL
"node","book",0,2126,2126,"und",0,"Divre shalom ṿe-emet 2",NULL
"node","book",0,2127,2127,"und",0,"Divre shalom ṿe-emet 3",NULL
"node","book",0,2128,2128,"und",0,"Divre shalom ṿe-emet 4",NULL
"node","book",0,2129,2129,"und",0,"Derush ʻal ha-shalom

Friedenspredigt: gehalten in der Synagoge zu Berlin am Sabbath den 27ten Adar 523 (den 12ten März 1763)",NULL
"node","book",0,2130,2130,"und",0,"Derekh ish yashar

The Oeconomy of Human Life. Translated from an Indian Manuscript, written by an ancient Bramin. To which is prefixed an Account of the Manner in which the said Manuscript was discovered. In a Letter from an English Gentleman, now residing in China, to the Earl of xxx A new Edition. With a translation into Hebrew by Abraham Van Oven, M.D.",NULL
"node","book",0,2131,2131,"und",0,"Derekh ḥayim: kolel sheloshah sefarim",NULL
"node","book",0,2133,2133,"und",0,"Darke noʻam: ʻim marpe lashon ... shene ḥiburim ... le-horot ... yesode ha-lashon ... ṿe-darke shir",NULL
"node","book",0,2134,2134,"und",0,"Darkhe noʻam oder iberzetsung fun Sefer Mishle",NULL
"node","book",0,2135,2135,"und",0,"Dat Yisraʾel oder Das Judenthum, das ist: Versuch einer Darstellung aller wesentlichen Glaubens- Sitten- und Ceremoniallehren heutiger Juden. Zum Gebrauche bei dem Elementarreligionsunterrichte ihrer Jugend. Nebst einem Anhange für Lehrer. Erstes Bändchen.",NULL
"node","book",0,2136,2136,"und",0,"Dat Yisraʾel oder Das Judenthum, das ist: Versuch einer Darstellung aller wesentlichen Glaubens- Sitten- und Ceremoniallehren heutiger Juden. Zum Gebrauche bei dem Elementarreligionsunterrichte ihrer Jugend. Nebst einem Anhange für Lehrer. Zweytes Bändchen",NULL
"node","book",0,2137,2137,"und",0,"Ha-emunot ṿeha-deʿot: she-ḥiber ha-gaʾon Rabenu Saʿadyah ... bi-leshon ʿarav ... ṿeheʿetiko R. Yehudah eben Tebon ... li-leshon ʿivri ... kolel ʿasarah maʾamarim be-ʿinyane ha-emunot ... ṿe-nitṿasaf bo ... perush ... ha-ḥeleḳ ha-eḥad be-shem Shomer Emunah ṿeha-ḥeleḳ ha-sheni be-shem Ḥeḳer Daʿat",NULL
"node","book",0,2138,2138,"und",0,"Hand leḳsiḳon: oder zamlung ... Laṭaynisher, Frantsezisher un. Italyenisher ṿerṭern ṿelkhe tsum gebroykh der ḳorespondents un. lezung der bikhern un. tsayṭungn",NULL
"node","book",0,2139,2139,"und",0,"Hadrakhat ha-yeled oder Ersṭer unṭerrikhṭ fir ḳinder fon dray bis finf yahren",NULL
"node","book",0,2140,2140,"und",0,"Hisṭorye: oder zelṭzame und ṿunderbahre begebenhayṭen aynes yungen zeefarers",NULL
"node","book",0,2141,2141,"und",0,"Hamtsaʼah ḥadashah midbar sin",NULL
"node","book",0,2142,2142,"und",0,"Ha-nefesh",NULL
"node","book",0,2143,2143,"und",0,"Haʻataḳah",NULL
"node","book",0,2144,2144,"und",0,"Hafṭarah le-shaḥarit Yom Kipurim: (Yeshaʻyah ḳ. 57 p. 14 biz ḳ. 59)",NULL
"node","book",0,2145,2145,"und",0,"Hafṭarot mi-kol ha-shanah 1: Hafṭarot mi-kol ha-shanah ʿim targum Ashkenazi u-veʾur, ersṭe abliferung",NULL
"node","book",0,2146,2146,"und",0,"Hafṭarot mi-kol ha-shanah 2: Hafṭarot mi-kol ha-shanah ʿim targum Ashkenazi u-veʾur, tsṿeyṭe abliferung",NULL
"node","book",0,2147,2147,"und",0,"Hafṭarot mi-kol ha-shanah 3: Hafṭarot mi-kol ha-shanah ʿim targum Ashkenazi u-veʾur, driṭe abliferung",NULL
"node","book",0,2148,2148,"und",0,"Hafṭarot mi-kol ha-shanah 4: Hafṭarot mi-kol ha-shanah ʿim targum Ashkenazi u-veʾur, firṭe abliferung",NULL
"node","book",0,2149,2149,"und",0,"Ha-piyuṭim ṿeha-payṭanim",NULL
"node","book",0,2150,2150,"und",0,"Ha-Ḳolot yeḥdalun o mishpaṭ sefer",NULL
"node","book",0,2151,2151,"und",0,"Ha-shalom

Hymne gesungen bei Gelegenheit der Friedensfeier von der jüdischen Gemeinde in Fürth. Den 10ten November 1809",NULL
"node","book",0,2152,2152,"und",0,"Ha-shalom

Hymne à l'occasion de la paix, par le C.en Elie Levy; Chantée en hébreu et lue en français, dans la grande Synagogue, à Paris, le 17 Brumaire an X",NULL
"node","book",0,2153,2153,"und",0,"Hitʿorerut simḥah ṿe-sason ba-Shabatot u-renanim la-Yehudim ḳ.ḳ. Ashkenazim ... ba-ʿir Alṭona ... bi-reʾotam et yeḳar tifʾeret gedulat adonenu ha-melekh ha-gadol ha-yaḳar ha-adir ṿehe-ḥasid Ḳrisṭiʾanus ha-sheviʿi melekh Denimarḳ ṿe-Norṿegn ... : hofiʿa be-ḥasdo ha-gadol le-ḥonen ṿela-vo be-hadrat kevodo li-shemoʿa el ha-rinah ṿe-el ha-tefilah asher hem mitpalelim be-vet ha-keneset ʿal shelomo ṿe-ʿal shelom bet malkhuto, she-yatmid be-rov ṭuv ṿa-ʿoz le-netsaḥ netsaḥim amen be-ḥodesh Tamuz, uvi-shenat melekh shofet be-emet dalim kisʾo la-ʿad yikon ...

Oden und Cantate bey Gelegenheit, da Ihro Koenigl. Majestät zu Dännemark, Norwegen etc. Christian der Siebende, die unschätzbare Königl. Gnade Dero allergetreuesten Erbunterthanen, den Juden in Altona, Hochdeutscher Nation, huldreichst angedeyen ließ, mit Dero höchstem Besuch ihre Synagoge zu beehren, von dem Cantor der Gemeinde abgesungen, nachdem zuvor auch das Gebeth, welches alle Sabbath und Feyertage, wegen Sr. Königl. Majestät langen Lebens und glücklichen Regierung pflegt angestellet zu werden, war gehalten worden. Im Junius 1767",NULL
"node","book",0,2154,2154,"und",0,"Zot ḥanukat ha-bayit: bet ha-keneset shel ʿAdat Yeshurun ... poh ḳehilatenu ḳahal ḳadosh ʿAdat Yeshurun be-Amsṭerdam be-yom ha-shishi ... 15 Siṿan shenat [557] ... asher tiḳnam ṿi-yisdam ha-zamar ha-rishon ha-Rav ... Yitsḥaḳ ... ṿeha-zamar ha-sheni ṿeha-tefilah ... Daṿid Fridrikhs Feld",NULL
"node","book",0,2155,2155,"und",0,"Zeh Sefer bet ha-midot",NULL
"node","book",0,2156,2156,"und",0,"Zeh sefer Zekher tsadiḳ: zekher rav ṭov ṿe-divre yeme ḥaye ... Naftali Hirts Ṿizel",NULL
"node","book",0,2157,2157,"und",0,"Zeh sefer Ṭov ṿe-yafeh",NULL
"node","book",0,2158,2158,"und",0,"Zeh sefer pesher davar: ʿal miḳra Iyov",NULL
"node","book",0,2159,2159,"und",0,"Zikhron Yosef: ... le-havin ... ḥokhmat ha-medida.",NULL
"node","book",0,2161,2161,"und",0,"Zend shraibn an di daiṭshe Yuden",NULL
"node","book",0,2162,2162,"und",0,"Ḥotam tokhnit",NULL
"node","book",0,2164,2164,"und",0,"Ḥai ben Meḳits",NULL
"node","book",0,2165,2165,"und",0,"Ḥokhmat Yehoshuʻa Ben Sira: neʻetaḳ li-leshon ʻIvri ṿe-Ashkenazi u-meturgam Aramit ʻim beʼur ha-ʻinyan ... ṿe-heʻarot musar",NULL
"node","book",0,2166,2166,"und",0,"Ḥelḳat meḥoḳeḳ",NULL
"node","book",0,2167,2167,"und",0,"Ḥesheḳ Shelomoh",NULL
"node","book",0,2168,2168,"und",0,"Yom melakhim yemlukhu

Inni da cantarsi nella Scuola grande d'Orazione degli Ebrei, per l'acclamazione al Trono Imperiale Della Maesta Di Francesco II Imperatore De'romani fatto e recitato sotto la direzione degli attuali signori Capi della Nazione Ebrea Leon Vivante, Grassin qm, Caliman Levi ed Aron Curiel nel di 14 Ottobre 1804",NULL
"node","book",0,2169,2169,"und",0,"Yonah: ʻim targum Ashkenazi u-ṿeʼur",NULL
"node","book",0,2170,2170,"und",0,"Yoshve tevel: yavinu ṿe-yaskilu li-meʾos be-raʿ ṿeli-veḥor be-ṭov",NULL
"node","book",0,2171,2171,"und",0,"Yaldut u-vaḥarut ʼo netivot ha-ḥinukh ṿeha-musar",NULL
"node","book",0,2172,2172,"und",0,"Yeriʿot Shelomoh 1",NULL
"node","book",0,2173,2173,"und",0,"Yeriʻot Shelomoh 3",NULL
"node","book",0,2174,2174,"und",0,"Kos Yeshuʿot, oder Kelch des Heils, gefüllt aus der Quelle der Wahrheit, und mit dem wärmsten Brudergefühle dargereicht den Kindern Israels in den k. k. österreichischen Staaten, besonders der Kolonie in Böhmen",NULL
"node","book",0,2175,2175,"und",0,"Kimyah oder shaydiḳunsṭ - 1: Kimyah oder shaydiḳunsṭ ṿorinn di tsuzammenzetsung und tserlegung der naṭirlikhn und ḳinsṭlikhn ḳerper gelehrṭ ṿird",NULL
"node","book",0,2176,2176,"und",0,"Kelilat ahavah",NULL
"node","book",0,2177,2177,"und",0,"Keter malkhut l.r.z.v.d.",NULL
"node","book",0,2178,2178,"und",0,"Lahaṭ ha-ḥerev",NULL
"node","book",0,2179,2179,"und",0,"Luaḥ ha-peʿalim: kolel dugmat kol ha-binyanim mi-kol ha-gezerot be-foʻale leshon ʻivri",NULL
"node","book",0,2180,2180,"und",0,"Luaḥ ʻalot ha-shaḥar: ṿe-tsʼet ha-kokhavim",NULL
"node","book",0,2181,2181,"und",0,"Luḥot binyene ha-peʿalim ʿim mishḳale ha-shemot",NULL
"node","book",0,2182,2182,"und",0,"Luḥot ha-ʻibur 1",NULL
"node","book",0,2183,2183,"und",0,"Luḥot ha-ʻibur 2",NULL
"node","book",0,2184,2184,"und",0,"Laykhṭzin und fremmelay: ayn familyen gemehlde in dray oyfzign",NULL
"node","book",0,2185,2185,"und",0,"La-yesharim tehilah: shir yedidut le-yom ḥatunat he-ḥakham ṿeha-navon khr.r. Yaʿaḳov Di-Gaṿis ... ʿim ha-kalah ha-betulah ha-mehulalah ha-tsanuʿah marat Raḥel Da-Ṿega Enriḳes",NULL
"node","book",0,2186,2186,"und",0,"Li-khevod ish mehulal",NULL
"node","book",0,2187,2187,"und",0,"Li-khevod ha-gevir",NULL
"node","book",0,2188,2188,"und",0,"Li-khevod ha-moshel ha-gadol",NULL
"node","book",0,2189,2189,"und",0,"Lebens-beshraybung Yozefs II.",NULL
"node","book",0,2190,2190,"und",0,"Leshon ha-zahaṿ",NULL
"node","book",0,2191,2191,"und",0,"Maʼamar Imrah tserufah",NULL
"node","book",0,2192,2192,"und",0,"Ma'amar ha-torah ṿeha-ḥokhmah: ḥeleḳ 1",NULL
"node","book",0,2193,2193,"und",0,"Maʼamar ḥiḳur din",NULL
"node","book",0,2194,2194,"und",0,"Maʼamar magid ḥadashot",NULL
"node","book",0,2195,2195,"und",0,"Maʾamar tsedeḳ ṿe-ʿoni o ʿoz ha-tsedeḳ",NULL
"node","book",0,2196,2196,"und",0,"Mavo el Miḳraʼe ḳodesh: li-heyot bi-meḳom haḳdamah u-mavo el kol sefer mi-sifre ha-Neviʼim ṿeha-Ketuvim",NULL
"node","book",0,2198,2198,"und",0,"Mavo ha-lashon: liftoaḥ shaʻare ha-lashon le-dofḳe shaʻareah",NULL
"node","book",0,2199,2199,"und",0,"Mivḥar ha-peninim: bi-melitsat ha-ḥakhamim ha-ḳadmonim u-mishle filosofim ha-rishonim u-musaram ... be-khol ʻinyan she-adam tsarikh elaṿ be-ḥokhmah, be-yirʼah uve-musar uve-derekh erets, mesudar li-sheʻarim ʻim perush maspiḳ",NULL
"node","book",0,2200,2200,"und",0,"Megilat Ester: ʻim targum ashkenazi u-veʼur",NULL
"node","book",0,2201,2201,"und",0,"Megilat Ekhah: ʻim targum Ashkenazi u-veʼur",NULL
"node","book",0,2202,2202,"und",0,"Megilat ḥasidim: Ḥeleḳ rishon mi-Sefer Megilat ḥasidim medubar bo nikhbadot, be-yosher anshe ha-midot",NULL
"node","book",0,2203,2203,"und",0,"Megilat Ḳohelet: me-turgemet Ashkenazit",NULL
"node","book",0,2204,2204,"und",0,"Megilat Rut: ʻim targum Ashkenazi u-veʼur",NULL
"node","book",0,2205,2205,"und",0,"Megilat Shir ha-shirim: me-turgemet Ashkenazit",NULL
"node","book",0,2206,2206,"und",0,"Midbar Sin",NULL
"node","book",0,2207,2207,"und",0,"Midrash milim leshonot ʻIvrit ṿe-Ashḳenazit: ... oder Follshṭendiges loshn haḳoydesh und dayṭshes ṿerṭer bukh",NULL
"node","book",0,2208,2208,"und",0,"Mah nikhbad ha-yom ha-zeh

Gebete und Glückwünsche auf dem Wahltage unsers geliebtesten Fürsten und Herrn, Herrn Philipp Franz Wilderich Grafen von Walderdorf, Bischof zu Speier, Probst der gefürsteten Probstei Weissenburg, des H. R. R. Fürst u. In der hiesigen Synagoge unter feierlicher Festbegehung und Allmosenaustheilung, nebst den Psalmen: 21, 23, 61, 72 und 101. abgesungen worden. Verfaßt von dem hiesigen Oberlandrabiner Pelte Moses Epstein. Aus dem Hebräischen gleichlautend übersetzt.",NULL
"node","book",0,2209,2209,"und",0,"Modaʻ li-vene binah oder Kinderfreund und Lehrer: ein Lehr- und Lesebuch für die Jugend jüdischer Nation und für jeden Liebhaber der hebräischen Sprache. Von Moses Philippssohn, Lehrer an der jüdischen Haupt- und Freischule zu Dessau. Erster Theil",NULL
"node","book",0,2210,2210,"und",0,"Modaʿ li-vene binah oder Kinderfreund und Lehrer: ein Lehr- und Lesebuch für die Jugend jüdischer Nation und für jeden Liebhaber der hebräischen Sprache 2",NULL
"node","book",0,2211,2211,"und",0,"Modaʿ le-yalde bene Yisraʾel",NULL
"node","book",0,2212,2212,"und",0,"Modaʿah",NULL
"node","book",0,2213,2213,"und",0,"Moreh nevukhim 1: Sefer Moreh nevukhim le-ha-rav ha-gadol ha-ḥoker ha-Elohi he-ḥakham ha-kolel Rabenu Mosheh ben Maimon z.ts.l. 'im shene ferushim nikhbadot medubar bam, hemah perush ha-rav ha-ḥoker ha-mekubal he-ḥakham ha-filosof Mosheh Narboni u-ferush Giv'at ha-Moreh",NULL
"node","book",0,2214,2214,"und",0,"Moreh nevukhim 2",NULL
"node","book",0,2215,2215,"und",0,"Moreh nevukhim 3",NULL
"node","book",0,2216,2216,"und",0,"Mizmor le-todah le-elohenu: ʿal yom hatsalat ha-melekh adonenu

Ein hebräisches Gedicht mit deutscher Übersetzung. Am Danksagungs-Fest für die Rettung Sr. Majestät unsers allergnädigsten Königes und Landesherrn Georg des III. von der Judenschaft zu Göttingen",NULL
"node","book",0,2217,2217,"und",0,"Mizmor shir",NULL
"node","book",0,2218,2218,"und",0,"Mizmor shir le-Bonaparṭ

Ode an den Helden Bonaparte, erster Consul der Franken-Republik in hebräisch. latein. franz. und deutscher Sprache

Ode à Bonaparte, premier consul, conservé pour la troisième fois à la France, composée en latin et traduite en français et en allemand par Geoffroy-Jacques Schaller, Strasbourg, an IX (1800). Nouvelle édition, enrichie d'une traduction en hébreu par Lipmann Moyse",NULL
"node","book",0,2219,2219,"und",0,"Maḥberot ʻImanuʼel: melits ṿe-sofer, ha-noten imre shefer",NULL
"node","book",0,2220,2220,"und",0,"Maḥberet Ḥaye ha-nefesh ṿe-nitsḥiyutah: asher akh le-nishmat adam berit kerutah",NULL
"node","book",0,2221,2221,"und",0,"Maḥazeh shadai

Illusione Felice ossia Visione Sentimentale di Samuel Romanelli. Traduzione dall' originale ebraico dello stesso autore",NULL
"node","book",0,2222,2222,"und",0,"Maḥzor le-Ḥag ha-Shavuʻot: meduyaḳ heṭev u-mevoʼar yafeh u-meturgam Ashkenazit",NULL
"node","book",0,2223,2223,"und",0,"Maḥzor minhag Polin le-Yom Kipur: meduyaḳ heṭev u-mevoʼar yafeh u-meturgam Ashkenazit",NULL
"node","book",0,2224,2224,"und",0,"Maḥzor minhag Polin le-yom rishon ṿe-sheni shel Pesaḥ: meduyaḳ heṭev u-mevoʼar yafeh u-meturgam Ashkenazit",NULL
"node","book",0,2225,2225,"und",0,"Maḥzor minhag Polin le-yom rishon shel Rosh ha-Shanah: meduyaḳ heṭev u-mevoʼar yafeh u-meturgam Ashkenazit",NULL
"node","book",0,2226,2226,"und",0,"Maḥzor minhag Polin le-yom sheviʿi u-shemini shel Pesaḥ: meduyaḳ heṭev u-mevoʾar yafeh u-meturgam Ashkenazit",NULL
"node","book",0,2227,2227,"und",0,"Maḥzor minhag Polin le-yom sheni shel Rosh ha-Shanah: meduyaḳ heṭev u-mevoʼar yafeh u-meturgam Ashkenazit",NULL
"node","book",0,2228,2228,"und",0,"Maḥzor minhag Polin le-ʻArvit le-Yom Kipur: ʻim Shir ha-Yiḥud gam Keter Malkhut L.R.S. ben Gabirol meduyaḳ heṭev u-mevoʼar yafeh u-meturgam Ashkenazit",NULL
"node","book",0,2229,2229,"und",0,"Maḥzor minhag Polin li-Shemini ʿatseret u-le-Simḥat Torah: meduyaḳ heṭev u-mevoʼar yafeh u-meturgam Ashkenazit",NULL
"node","book",0,2230,2230,"und",0,"Maṭaʻe ḳedem ʻal adamat tsafon: hem shirim ḥadashim ha-meḥubarim be-lashon ʻIvrit u-meturgamim Ashkenazi

Morgenländische Pflanzen auf nördlichem Boden. Eine Sammlung neuer Hebräischer Poesien nebst deutscher Uebersetzung von Salomon Jacob Cohen, Lehrer der Moral und Hebräischen Sprache bei jud. Freischule in Berlin",NULL
"node","book",0,2231,2231,"und",0,"Mikhtav: ha-adon ... Mordekhai rofe ḳahal daʿat Yisraʾel be-Berlin ha-mekhuneh",NULL
"node","book",0,2232,2232,"und",0,"mikhtav marpe la-nefesh",NULL
