nid,vid,"type","language","title",uid,status,created,changed,comment,promote,sticky,tnid,translate
64,64,"person","und","Bock, Moses Hirsch - בוק, משה (בן) צבי",1,1,1428490114,1428490114,0,1,0,0,0
65,65,"person","und","Bondi, Hirsch",1,1,1428490114,1428490114,0,1,0,0,0
66,66,"person","und","Bondi, Isaac",1,1,1428490114,1428490114,0,1,0,0,0
67,67,"person","und","Bondi, Mardochai - בונדי, מרדכי",1,1,1428490114,1428490114,0,1,0,0,0
68,68,"person","und","Bondi, Moses",1,1,1428490114,1428490114,0,1,0,0,0
69,69,"person","und","Bondi, Simon",1,1,1428490114,1428490114,0,1,0,0,0
70,70,"person","und","Borchard, Jacob Isaac",1,1,1428490114,1428490114,0,1,0,0,0
71,71,"person","und","Bran, Alexander",1,1,1428490114,1428490114,0,1,0,0,0
72,72,"person","und","Breslauer, Mendel",1,1,1428490114,1428490114,0,1,0,0,0
73,73,"person","und","Bresslau, Löbel",1,1,1428490114,1428490114,0,1,0,0,0
74,74,"person","und","Brug, Lazarus",1,1,1428490114,1428490114,0,1,0,0,0
75,75,"person","und","Buchner, Zeev Wolf - בוכנר, זאב וולף",1,1,1428490114,1428490114,0,1,0,0,0
76,76,"person","und","Büschenthal, Lippmann Moses - בישנטל, ליפמן משה",1,1,1428490114,1428490114,0,1,0,0,0
77,77,"person","und","Carlotta Arnstein",1,1,1428490114,1428490114,0,1,0,0,0
78,78,"person","und","Caspar, Isaac",1,1,1428490114,1428490114,0,1,0,0,0
79,79,"person","und","Cassel, David",1,1,1428490114,1428490114,0,1,0,0,0
80,80,"person","und","Chorin, Aaron - אהרן בן קלמן",1,1,1428490114,1428490114,0,1,0,0,0
81,81,"person","und","Cohen, Benjamin Moses - כהן, בנימין משה",1,1,1428490114,1428490114,0,1,0,0,0
82,82,"person","und","Cohen, Chanania Elchanan Chaj - כהן, חנניה אלחנן חי",1,1,1428490114,1428490114,0,1,0,0,0
83,83,"person","und","Cohen, Salomon Jacob - כהן, שלום",1,1,1428490114,1428490114,0,1,0,0,0
84,84,"person","und","Cohn, Nathan (Lehrer)",1,1,1428490114,1428490114,0,1,0,0,0
85,85,"person","und","Cologna, Abraham de - קולוניא, אברהם חי די",1,1,1428490114,1428490114,0,1,0,0,0
86,86,"person","und","Cöslin, Chajim - קסלין, חיים",1,1,1428490114,1428490114,0,1,0,0,0
87,87,"person","und","David Friedrich Megerlin",1,1,1428490114,1428490114,0,1,0,0,0
88,88,"person","und","David Jakob Ries",1,1,1428490114,1428490114,0,1,0,0,0
89,89,"person","und","David Levi",1,1,1428490114,1428490114,0,1,0,0,0
90,90,"person","und","David Levin",1,1,1428490114,1428490114,0,1,0,0,0
91,91,"person","und","David, Joseph Nathan",1,1,1428490114,1428490114,0,1,0,0,0
92,92,"person","und","David, Meyer Michel (Kammeragent)",1,1,1428490114,1428490114,0,1,0,0,0
93,93,"person","und","Davidson, Wolf - דוידזון, וולף",1,1,1428490114,1428490114,0,1,0,0,0
94,94,"person","und","Derenburg, Zebi Hirsch - דרנבורג, הירש",1,1,1428490114,1428490114,0,1,0,0,0
95,95,"person","und","Dessau, Wolf - דסאו, וולף",1,1,1428490114,1428490114,0,1,0,0,0
96,96,"person","und","Detmold, Anna",1,1,1428490114,1428490114,0,1,0,0,0
97,97,"person","und","Detmold, Samuel - דטמולד, שמואל",1,1,1428490114,1428490114,0,1,0,0,0
98,98,"person","und","Diehl",1,1,1428490114,1428490114,0,1,0,0,0
99,99,"person","und","Direktion der Kaufmännischen Ressource",1,1,1428490114,1428490114,0,1,0,0,0
100,100,"person","und","Dohm (Syndicus)",1,1,1428490114,1428490114,0,1,0,0,0
101,101,"person","und","Dohm, Lewin Benjamin - דוהם, לוין בנימין",1,1,1428490114,1428490114,0,1,0,0,0
102,102,"person","und","Dormitzer, Meir Markus - דורמיצר, מאיר",1,1,1428490114,1428490114,0,1,0,0,0
103,103,"person","und","Driesen, Mordechai - דריזן, מרדכי בן שמעיה",1,1,1428490114,1428490114,0,1,0,0,0
104,104,"person","und","Dubno, Salomon",1,1,1428490114,1428490114,0,1,0,0,0
105,105,"person","und","Dubno, Salomon - דובנא, שלמה",1,1,1428490114,1428490114,0,1,0,0,0
106,106,"person","und","Elbthal",1,1,1428490114,1428490114,0,1,0,0,0
107,107,"person","und","Elia b. Daniel (Jaffe)",1,1,1428490114,1428490114,0,1,0,0,0
108,108,"person","und","Elias Meyer (Kammeragent)",1,1,1428490114,1428490114,0,1,0,0,0
109,109,"person","und","Elias, Philipp",1,1,1428490114,1428490114,0,1,0,0,0
110,110,"person","und","Engel",1,1,1428490114,1428490114,0,1,0,0,0
111,111,"person","und","Ephraim",1,1,1428490114,1428490114,0,1,0,0,0
112,112,"person","und","Ephraim Lion Davids - אפרים בן ליב",1,1,1428490114,1428490114,0,1,0,0,0
113,113,"person","und","Ephraim, David",1,1,1428490114,1428490114,0,1,0,0,0
114,114,"person","und","Ephraim, Samuel Hirsch",1,1,1428490114,1428490114,0,1,0,0,0
115,115,"person","und","Epstein, Pelte Moses - אפשטין, פלטא בן משה",1,1,1428490114,1428490114,0,1,0,0,0
116,116,"person","und","Erhraim, Veitel H.",1,1,1428490114,1428490114,0,1,0,0,0
117,117,"person","und","Eschwege",1,1,1428490114,1428490114,0,1,0,0,0
118,118,"person","und","Eskeles, Bernhard",1,1,1428490114,1428490114,0,1,0,0,0
119,119,"person","und","Eskeles, Bernhard von",1,1,1428490114,1428490114,0,1,0,0,0
120,120,"person","und","Euchel, Demoiselle",1,1,1428490114,1428490114,0,1,0,0,0
121,121,"person","und","Euchel, Gottleb - אייכל, יחיאל גוטליב",1,1,1428490114,1428490114,0,1,0,0,0
122,122,"person","und","Euchel, Isaac Abraham",1,1,1428490114,1428490114,0,1,0,0,0
123,123,"person","und","Euchel, Isaak",1,1,1428490114,1428490114,0,1,0,0,0
124,124,"person","und","Ezechel Caspar",1,1,1428490114,1428490114,0,1,0,0,0
125,125,"person","und","Fischer, Markus - פישר, מאיר",1,1,1428490114,1428490114,0,1,0,0,0
126,126,"person","und","Francia de Beaufleury, Louis",1,1,1428490114,1428490114,0,1,0,0,0
127,127,"person","und","Franco Mendes, David",1,1,1428490114,1428490114,0,1,0,0,0
128,128,"person","und","Franco Mendes, David - פרנקו-מנדס, דוד",1,1,1428490114,1428490114,0,1,0,0,0
129,129,"person","und","Fränkel",1,1,1428490114,1428490114,0,1,0,0,0
130,130,"person","und","Fränkel, David",1,1,1428490114,1428490114,0,1,0,0,0
131,131,"person","und","Fränkel, David - פרנקל, דוד",1,1,1428490114,1428490114,0,1,0,0,0
132,132,"person","und","Fränkel, Michael",1,1,1428490114,1428490114,0,1,0,0,0
133,133,"person","und","Fränkel, Moses S.",1,1,1428490114,1428490114,0,1,0,0,0
134,134,"person","und","Franz II",1,1,1428490114,1428490114,0,1,0,0,0
135,135,"person","und","Friedeburg, Madame Herz",1,1,1428490114,1428490114,0,1,0,0,0
136,136,"person","und","Friedländer, Abraham",1,1,1428490114,1428490114,0,1,0,0,0
137,137,"person","und","Friedländer, Adelaide",1,1,1428490114,1428490114,0,1,0,0,0
138,138,"person","und","Friedländer, Angelika",1,1,1428490114,1428490114,0,1,0,0,0
139,139,"person","und","Friedländer, Bernhard",1,1,1428490114,1428490114,0,1,0,0,0
140,140,"person","und","Friedländer, David",1,1,1428490114,1428490114,0,1,0,0,0
141,141,"person","und","Friedländer, Goldea",1,1,1428490114,1428490114,0,1,0,0,0
142,142,"person","und","Friedländer, H. N. (Buchhändler)",1,1,1428490114,1428490114,0,1,0,0,0
143,143,"person","und","Friedländer, Hanna",1,1,1428490114,1428490114,0,1,0,0,0
144,144,"person","und","Friedländer, Heimann Meyer",1,1,1428490114,1428490114,0,1,0,0,0
145,145,"person","und","Friedländer, Hinde",1,1,1428490114,1428490114,0,1,0,0,0
146,146,"person","und","Friedländer, Hirsch Elias",1,1,1428490114,1428490114,0,1,0,0,0
147,147,"person","und","Friedländer, Meier",1,1,1428490114,1428490114,0,1,0,0,0
148,148,"person","und","Friedländer, Meyer",1,1,1428490114,1428490114,0,1,0,0,0
149,149,"person","und","Friedländer, Michael - פרידענדר, מיכאל",1,1,1428490114,1428490114,0,1,0,0,0
150,150,"person","und","Friedländer, Pessel",1,1,1428490114,1428490114,0,1,0,0,0
151,151,"person","und","Friedländer, Rebekka Meyer",1,1,1428490114,1428490114,0,1,0,0,0
152,152,"person","und","Friedländer, Rebekka Wulff",1,1,1428490114,1428490114,0,1,0,0,0
153,153,"person","und","Friedländer, Recha Wulff",1,1,1428490114,1428490114,0,1,0,0,0
154,154,"person","und","Friedländer, Salomon",1,1,1428490114,1428490114,0,1,0,0,0
155,155,"person","und","Friedländer, Samuel Wulff",1,1,1428490114,1428490114,0,1,0,0,0
156,156,"person","und","Friedländer, Sanwil",1,1,1428490114,1428490114,0,1,0,0,0
157,157,"person","und","Friedländer, Sanwil - פרידלנדר, זנוויל שמואל",1,1,1428490114,1428490114,0,1,0,0,0
158,158,"person","und","Friedländer, Simon",1,1,1428490114,1428490114,0,1,0,0,0
159,159,"person","und","Friedländer, Simon Bendix",1,1,1428490114,1428490114,0,1,0,0,0
160,160,"person","und","Friedländer, Veitel Bernhard",1,1,1428490114,1428490114,0,1,0,0,0
161,161,"person","und","Friedländer, Wolf",1,1,1428490114,1428490114,0,1,0,0,0
162,162,"person","und","Friedländer, Wolf Bernhard",1,1,1428490114,1428490114,0,1,0,0,0
163,163,"person","und","Friedländer, Wulff",1,1,1428490114,1428490114,0,1,0,0,0
164,164,"person","und","Friedrich Salomon Stöltzner",1,1,1428490114,1428490114,0,1,0,0,0
165,165,"person","und","Friedrich Wilhelm III.",1,1,1428490114,1428490114,0,1,0,0,0
166,166,"person","und","Friedrichsfeld, David",1,1,1428490114,1428490114,0,1,0,0,0
167,167,"person","und","Friedrichsfeld, David - פרידריכספלד, דוד",1,1,1428490114,1428490114,0,1,0,0,0
168,168,"person","und","Friesenhausen, David ben Meir Hakohen - פריזנהויזן, דוד",1,1,1428490114,1428490114,0,1,0,0,0
169,169,"person","und","Fürst (Dr.)",1,1,1428490114,1428490114,0,1,0,0,0
170,170,"person","und","Furtado, Abraham - פורטאדו, אברהם",1,1,1428490114,1428490114,0,1,0,0,0
171,171,"person","und","Fürth, Meyer Elkan - פירדא, אלחנן מאיר בן אברהם",1,1,1428490114,1428490114,0,1,0,0,0
172,172,"person","und","Gallathea Salomon",1,1,1428490114,1428490114,0,1,0,0,0
173,173,"person","und","Gans, Abraham",1,1,1428490114,1428490114,0,1,0,0,0
174,174,"person","und","Gans, Salomon",1,1,1428490114,1428490114,0,1,0,0,0
175,175,"person","und","Gardemain (Bankier), Daniel",1,1,1428490114,1428490114,0,1,0,0,0
176,176,"person","und","Geisenheimer (Vorsteher des Philantropins)",1,1,1428490114,1428490114,0,1,0,0,0
177,177,"person","und","Gerson, Elias - אליהו מפינטשוב",1,1,1428490114,1428490114,0,1,0,0,0
178,178,"person","und","Gesellschaft der Freunde",1,1,1428490114,1428490114,0,1,0,0,0
179,179,"person","und","Gesellschaft der hebräischen Litteraturfreunde",1,1,1428490114,1428490114,0,1,0,0,0
180,180,"person","und","Gesellschaft des Guten und Edlen - חברת שוחרי הטוב והתושיה",1,1,1428490114,1428490114,0,1,0,0,0
181,181,"person","und","Getzel, Jacob",1,1,1428490114,1428490114,0,1,0,0,0
182,182,"person","und","Getzel, Meyer",1,1,1428490114,1428490114,0,1,0,0,0
183,183,"person","und","Giuseppe Lazzaro Morpurgo",1,1,1428490114,1428490114,0,1,0,0,0
184,184,"person","und","Glogau, Hirsch Moses - גלוגוי, צבי הירש בן משה",1,1,1428490114,1428490114,0,1,0,0,0
185,185,"person","und","Goldschmidt, Caroline",1,1,1428490114,1428490114,0,1,0,0,0
186,186,"person","und","Goldschmidt, Moses",1,1,1428490114,1428490114,0,1,0,0,0
187,187,"person","und","Graanboom, Izak - גראנבום, יצחק",1,1,1428490114,1428490114,0,1,0,0,0
188,188,"person","und","Graff, Jacob",1,1,1428490114,1428490114,0,1,0,0,0
189,189,"person","und","Gregoire, Henri",1,1,1428490114,1428490114,0,1,0,0,0
190,190,"person","und","Gregorovius (Prof.), J.A.",1,1,1428490114,1428490114,0,1,0,0,0
191,191,"person","und","Gugenheim, Joseph",1,1,1428490114,1428490114,0,1,0,0,0
192,192,"person","und","Gumpel, L.",1,1,1428490114,1428490114,0,1,0,0,0
193,193,"person","und","Gumpertz, Aaron - גומפרץ, אהרון",1,1,1428490114,1428490114,0,1,0,0,0
194,194,"person","und","Gunz, Simon",1,1,1428490114,1428490114,0,1,0,0,0
195,195,"person","und","Gunzenhausen, Anna",1,1,1428490114,1428490114,0,1,0,0,0
196,196,"person","und","Gurauer, Jacob Moses",1,1,1428490114,1428490114,0,1,0,0,0
197,197,"person","und","Halle, Joel Samuel von",1,1,1428490114,1428490114,0,1,0,0,0
198,198,"person","und","Hanau, Salomon - הנאו, שלמה זלמן",1,1,1428490114,1428490114,0,1,0,0,0
199,199,"person","und","Hart, Jacob - אליקים בן אברהם",1,1,1428490114,1428490114,0,1,0,0,0
200,200,"person","und","Hartknoch (Buchhändler)",1,1,1428490114,1428490114,0,1,0,0,0
201,201,"person","und","Heidenheim, Wolf - הידנהים, וולף",1,1,1428490114,1428490114,0,1,0,0,0
202,202,"person","und","Heilboth, Simon",1,1,1428490114,1428490114,0,1,0,0,0
203,203,"person","und","Heimann",1,1,1428490114,1428490114,0,1,0,0,0
204,204,"person","und","Heimann - היימן",1,1,1428490114,1428490114,0,1,0,0,0
205,205,"person","und","Heimann Enoch",1,1,1428490114,1428490114,0,1,0,0,0
206,206,"person","und","Heinemann, Jermias",1,1,1428490114,1428490114,0,1,0,0,0
207,207,"person","und","Heinemann, Jermias - היינמן, ירמיה",1,1,1428490114,1428490114,0,1,0,0,0
208,208,"person","und","Helft, Levy - הלפט, לוי",1,1,1428490114,1428490114,0,1,0,0,0
209,209,"person","und","Henle, Elkan",1,1,1428490114,1428490114,0,1,0,0,0
210,210,"person","und","Herford, Joel",1,1,1428490114,1428490114,0,1,0,0,0
211,211,"person","und","Hermes, Johann Georg Christoph Friedrich",1,1,1428490114,1428490114,0,1,0,0,0
212,212,"person","und","Herz (Professor), Marcus",1,1,1428490114,1428490114,0,1,0,0,0
213,213,"person","und","Herz, Marcus - הרץ, מרכוס",1,1,1428490114,1428490114,0,1,0,0,0
214,214,"person","und","Herzbruck",1,1,1428490114,1428490114,0,1,0,0,0
215,215,"person","und","Herzenskron, Joachim",1,1,1428490114,1428490114,0,1,0,0,0
216,216,"person","und","Hirsch Markus",1,1,1428490114,1428490114,0,1,0,0,0
217,217,"person","und","Hirsch Münden",1,1,1428490114,1428490114,0,1,0,0,0
218,218,"person","und","Hirsch, D. Z.",1,1,1428490114,1428490114,0,1,0,0,0
219,219,"person","und","Hirsch, Isaac - הירש, איצק ליב",1,1,1428490114,1428490114,0,1,0,0,0
220,220,"person","und","Hirsch, Jakob",1,1,1428490114,1428490114,0,1,0,0,0
221,221,"person","und","Hirsch, Joseph",1,1,1428490114,1428490114,0,1,0,0,0
222,222,"person","und","Hirschberg",1,1,1428490114,1428490114,0,1,0,0,0
223,223,"person","und","Hirschberg (Dr.)",1,1,1428490114,1428490114,0,1,0,0,0
224,224,"person","und","Hirschel, Moses - הירשל, משה",1,1,1428490114,1428490114,0,1,0,0,0
225,225,"person","und","Höchheimer, Simon - הכהיימר, שמעון",1,1,1428490114,1428490114,0,1,0,0,0
226,226,"person","und","Homberg, Herz - הרץ, הומברג",1,1,1428490114,1428490114,0,1,0,0,0
227,227,"person","und","Hönig, Aaron",1,1,1428490114,1428490114,0,1,0,0,0
228,228,"person","und","Hönig, Enoch",1,1,1428490114,1428490114,0,1,0,0,0
229,229,"person","und","Hönig, Israel (Edler von Hönigsberg, k.k. Regierungsrath, Tabak- und Siegelgefälldirektor)",1,1,1428490114,1428490114,0,1,0,0,0
230,230,"person","und","Hönig, Joachim (Edler von Hönigsberg)",1,1,1428490114,1428490114,0,1,0,0,0
231,231,"person","und","Hönig, Max (Edler von Hönig)",1,1,1428490114,1428490114,0,1,0,0,0
232,232,"person","und","Horowitz, Jehuda - הורוויץ, יהודה",1,1,1428490114,1428490114,0,1,0,0,0
233,233,"person","und","Hourwitz, Zalkind - הורביץ, זלקינד",1,1,1428490114,1428490114,0,1,0,0,0
234,234,"person","und","Hoym, Karl Heinrich Graf von (Graf, Minister)",1,1,1428490114,1428490114,0,1,0,0,0
235,235,"person","und","Hoym, Karl Heinrich Graf von (Graf, Minister)",1,1,1428490114,1428490114,0,1,0,0,0
236,236,"person","und","Hraschanzky, Georg",1,1,1428490114,1428490114,0,1,0,0,0
237,237,"person","und","Hufnagel",1,1,1428490114,1428490114,0,1,0,0,0
238,238,"person","und","Hufnagel - הופנגל",1,1,1428490114,1428490114,0,1,0,0,0
239,239,"person","und","Hurwitz, Philipp Lazarus - הורוויץ, פיליפ לצרוס",1,1,1428490114,1428490114,0,1,0,0,0
240,240,"person","und","Isaac Aron",1,1,1428490114,1428490114,0,1,0,0,0
241,241,"person","und","Isaia Norsa",1,1,1428490114,1428490114,0,1,0,0,0
242,242,"person","und","Israel Levin",1,1,1428490114,1428490114,0,1,0,0,0
243,243,"person","und","Israelitische Haupt- und Freischule zu Deßaus - משגיחי חנוך נערים בעיר דעסויא",1,1,1428490114,1428490114,0,1,0,0,0
244,244,"person","und","Itzig (Landesältester)",1,1,1428490114,1428490114,0,1,0,0,0
245,245,"person","und","Itzig (Oberkantor)",1,1,1428490114,1428490114,0,1,0,0,0
246,246,"person","und","Itzig (Oberlandesältester), Daniel (Jaffe)",1,1,1428490114,1428490114,0,1,0,0,0
247,247,"person","und","Itzig, Daniel (Jaffe, Oberlandesältester)",1,1,1428490114,1428490114,0,1,0,0,0
248,248,"person","und","Itzig, Daniel (Jaffe)",1,1,1428490114,1428490114,0,1,0,0,0
249,249,"person","und","Itzig, Elias Daniel",1,1,1428490114,1428490114,0,1,0,0,0
250,250,"person","und","Itzig, Isaac Daniel",1,1,1428490114,1428490114,0,1,0,0,0
251,251,"person","und","Itzig, Isaac Daniel - איציג, יצחק דניאל",1,1,1428490114,1428490114,0,1,0,0,0
252,252,"person","und","Itzig, Jacob",1,1,1428490114,1428490114,0,1,0,0,0
253,253,"person","und","Itzig, Jakob Daniel",1,1,1428490114,1428490114,0,1,0,0,0
254,254,"person","und","Jacob, Abraham",1,1,1428490114,1428490114,0,1,0,0,0
255,255,"person","und","Jacobson, Israel",1,1,1428490114,1428490114,0,1,0,0,0
256,256,"person","und","Jacobson, Israel",1,1,1428490114,1428490114,0,1,0,0,0
257,257,"person","und","Jacobys Buchhandlung",1,1,1428490114,1428490114,0,1,0,0,0
258,258,"person","und","Jakob Daniel",1,1,1428490114,1428490114,0,1,0,0,0
259,259,"person","und","Jakobson, Israel",1,1,1428490114,1428490114,0,1,0,0,0
260,260,"person","und","Jaroslaw, Aron - ירוסלב, אהרן",1,1,1428490114,1428490114,0,1,0,0,0
261,261,"person","und","Jeitteles, Baruch (Benedict)",1,1,1428490114,1428490114,0,1,0,0,0
262,262,"person","und","Jeitteles, Baruch (Benedict) - ייטלש, ברוך",1,1,1428490114,1428490114,0,1,0,0,0
263,263,"person","und","Jeitteles, Benjamin",1,1,1428490114,1428490114,0,1,0,0,0
264,264,"person","und","Jeitteles, Ignaz",1,1,1428490114,1428490114,0,1,0,0,0
265,265,"person","und","Jeitteles, Ignaz - ייטלש, יגנץ",1,1,1428490114,1428490114,0,1,0,0,0
266,266,"person","und","Jeitteles, Juda",1,1,1428490114,1428490114,0,1,0,0,0
267,267,"person","und","Jeitteles, Juda - ייטלש, יהודה",1,1,1428490114,1428490114,0,1,0,0,0
268,268,"person","und","Jeitteles, Samuel",1,1,1428490114,1428490114,0,1,0,0,0
269,269,"person","und","Jekutiel, Moses - יקותיאל, משה",1,1,1428490114,1428490114,0,1,0,0,0
270,270,"person","und","Jonas Jeitteles",1,1,1428490114,1428490114,0,1,0,0,0
271,271,"person","und","Jordan, Brüder",1,1,1428490114,1428490114,0,1,0,0,0
272,272,"person","und","Joseph II",1,1,1428490114,1428490114,0,1,0,0,0
273,273,"person","und","Joseph II. (Kaiser)",1,1,1428490114,1428490114,0,1,0,0,0
274,274,"person","und","Joseph II. (Kaiser)",1,1,1428490114,1428490114,0,1,0,0,0
275,275,"person","und","Joseph Philipp",1,1,1428490114,1428490114,0,1,0,0,0
276,276,"person","und","Joseph Simon Muhr",1,1,1428490114,1428490114,0,1,0,0,0
277,277,"person","und","Joseph, Victor",1,1,1428490114,1428490114,0,1,0,0,0
278,278,"person","und","Jospeh Baruch Haim",1,1,1428490114,1428490114,0,1,0,0,0
279,279,"person","und","Jüdel Baruch",1,1,1428490114,1428490114,0,1,0,0,0
280,280,"person","und","Kalker, Simon Isaac - קלקר, שמעון",1,1,1428490114,1428490114,0,1,0,0,0
281,281,"person","und","Kaskel, Michel",1,1,1428490114,1428490114,0,1,0,0,0
282,282,"person","und","Kaskel, Michel",1,1,1428490114,1428490114,0,1,0,0,0
283,283,"person","und","Katz, Haim Abraham - כץ, חיים אברהם בן יהודה",1,1,1428490114,1428490114,0,1,0,0,0
284,284,"person","und","Kaulla, Kacob",1,1,1428490114,1428490114,0,1,0,0,0
285,285,"person","und","Kaulla, Karoline (Chaile)",1,1,1428490114,1428490114,0,1,0,0,0
286,286,"person","und","Kaulla, Meier",1,1,1428490114,1428490114,0,1,0,0,0
287,287,"person","und","Kaulla, Nathan Wolf",1,1,1428490114,1428490114,0,1,0,0,0
