tid,vid,name,description,field_geolocation_lat,field_geolocation_lng,field_geolocation_lat_sin,field_geolocation_lat_cos,field_geolocation_lng_rad
32,1,Brody,,50.08791,25.15027,0.76702978225375,0.64161149704144,0.43895501926555
33,1,Brooklyn,,40.6501,-73.94958,0.6514378827825,0.75870197368654,-1.2906636514669
34,1,Bruchsal,,49.12426,8.59804,0.75613062971424,0.6544207139203,0.15006410721817
35,1,Brünn,,49.1,11.9,0.75585346916764,0.65474081371734,0.20769418098733
36,1,Bubwitz,,,,,,
37,1,Buda,,30.08521,-97.84028,0.5012873952866,0.86528084881544,-1.7076350270732
38,1,Budapest,,47.49801,19.03991,0.73725387173114,0.67561581436305,0.33230911878339
39,1,Bunzlau,,,,,,
40,1,Burgkunstadt,,50.14093,11.25205,0.7676231840802,0.64090143334414,0.19638532009903
41,1,Cambridge,,52.2,0.11667,0.79015501237569,0.61290705365298,0.0020362756383018
42,1,Casale Monferrato,,45.13336,8.45714,0.70875070559677,0.70545902596542,0.14760493830211
43,1,Celle,,52.62264,10.08047,0.79465455854382,0.60706188530127,0.17593739164851
44,1,Cerny,,48.47796,2.32815,0.74870077495351,0.66290810040609,0.040633882980306
45,1,Chelm,,,,,,
46,1,Chlumetz,,,,,,
47,1,Chur,,46.85212,9.52965,0.72959103468592,0.68388370510338,0.16632376906268
408,1,Commentator,,,,,,
48,1,Constantinople,,,,,,
49,1,Copenhagen,,55.67594,12.56553,0.82586158230396,0.56387289957437,0.21930987075812
50,1,Damascus,,33.5102,36.29128,0.55208542790762,0.83378755105366,0.63340232576317
51,1,Danzig,,46.13803,-99.47484,0.72101119749487,0.69292341069343,-1.7361634808946
52,1,Dembitz,,,,,,
53,1,Den Haag,,-31.34395,26.55501,-0.52017439059276,0.85406007011887,0.46347235740002
54,1,Dessau,,51.83864,12.24555,0.78627376610411,0.61787827663421,0.21372516621759
55,1,Detmold,,51.93855,8.87318,0.78735000061906,0.61650626641192,0.15486620612211
56,1,Dobromil,,51.58052,15.99016,0.78348222791534,0.62141419241985,0.2790809399207
57,1,Dobruschka,,,,,,
58,1,Domosnitz,,,,,,
59,1,Dorpat,,,,,,
60,1,Dresden,,51.05,13.75,0.77769485111573,0.62864196371869,0.23998277214922
61,1,Driesen,,51.53935,6.66945,0.7830355072474,0.62197700471143,0.11640386179714
62,1,Drohobytsch,,,,,,
63,1,Dubno,,50.41694,25.73432,0.77070166909233,0.63719615289038,0.44914861476183
64,1,Duisburg,,51.43247,6.76516,0.78187390471707,0.62343660232816,0.11807431642422
65,1,Dyhernfurth,,,,,,
66,1,Eger,,47.90265,20.37329,0.74200684823452,0.67039230095003,0.35558098996364
67,1,Eisenstadt,,47.84565,16.52327,0.74133954964463,0.67113014545072,0.288385464696
68,1,Elberfeld,,38.15977,-87.44835,0.61785645672129,0.78629091237773,-1.5262616329364
69,1,Essen,,51.45657,7.01228,0.78213606815833,0.62310767198441,0.12238737407175
70,1,Flatow,,53.4,13.33333,0.80281747519111,0.59622487496562,0.23271050875494
71,1,Florenz,,,,,,
72,1,Frankfurt am Main,,50.11035,8.67185,0.76728101177123,0.64131103918093,0.15135233473907
73,1,Frankfurt/Oder,,,,,,
74,1,Friedland,,51.4167,9.93333,0.78170228139605,0.62365178045141,0.17336931418713
75,1,Friedrichsfeld,,49.44205,8.57696,0.75974871313498,0.65021680452733,0.14969619181185
76,1,Fürth,,49.47055,10.99713,0.76007204921763,0.64983881078165,0.19193612676984
77,1,Glogau,,,,,,
78,1,Gorizia,,45.93432,13.61834,0.71854301858426,0.69548251627472,0.23768487165604
79,1,Görz,,37.48333,45.7,0.60853057995879,0.79353042364803,0.79761546816141
80,1,Göttingen,,51.53443,9.93228,0.78298209507124,0.6220442418332,0.17335098822998
81,1,Greifswald,,54.09311,13.38786,0.80997112144526,0.58646976258346,0.23366223679605
82,1,Griechenland,,,,,,
83,1,Grodno,,53.9353,28.6434,0.80835273512447,0.58869844200302,0.49992163896574
84,1,Hagenau,,52.05183,6.05814,0.78856736103915,0.61494838572335,0.10573448954677
85,1,Halberstadt,,51.8883,11.0572,0.78680900465578,0.61719655717817,0.19298454605152
86,1,Halle,,50.73385,4.23454,0.77421427224385,0.63292358200175,0.073906665307401
87,1,Halle/Saale,,,,,,
88,1,Hamburg,,53.57532,10.01534,0.80463810913346,0.59376553733787,0.17480065870669
89,1,Hamm,,51.68033,7.82089,0.78456355026688,0.62004841391026,0.1365002809363
90,1,Hanau,,50.13155,8.92082,0.7675182506129,0.64102709379254,0.15569768097776
91,1,Hannover,,52.37052,9.73322,0.79197560473715,0.61055273441467,0.16987673582096
92,1,Hasenpoth,,,,,,
93,1,Hechingen,,48.35149,8.96317,0.74723570329353,0.66455910476302,0.15643682791598
94,1,Helmstädt,,49.7618,9.70803,0.76336552208705,0.64596677909066,0.16943708738239
95,1,Hildesheim,,52.15077,9.95112,0.78962809534193,0.61358574873173,0.17367980826106
96,1,Hirschberg,,50.4,11.8167,0.77051324277579,0.63742398974869,0.20624032172041
97,1,Hohenems,,47.36714,9.70692,0.73570876743076,0.67729802120301,0.16941771422769
98,1,Höritz,,,,,,
99,1,Horodok,,49.16374,26.58394,0.75658138268589,0.65389954226403,0.46397728115262
100,1,Horschitz,,,,,,
101,1,Hungary,,47.0,20.0,0.73135370161917,0.6819983600625,0.34906585039887
102,1,Jaroslaw,,50.85691,-97.06456,0.7755718801008,0.63125926432561,-1.6940961589996
103,1,Jena,,50.9326,11.58678,0.7764051216713,0.63023415255171,0.20222746070423
104,1,Jersualem,,,,,,
105,1,Jerusalem,,31.75,35.0,0.52621392365187,0.85035222499556,0.61086523819802
106,1,Jeßnitz,,51.68307,12.29992,0.78459320133833,0.62001089378629,0.2146741017319
107,1,Jewpatorija,,,,,,
108,1,Józefów,,52.13707,21.23589,0.78948135821602,0.61377453924824,0.37063620009134
109,1,Kanischa,,,,,,
110,1,Karlsruhe,,49.0083,8.39786,0.7548046105418,0.65594969312047,0.14657030712153
111,1,Kassel,,51.31667,9.5,0.78061228639555,0.6250155664688,0.16580627893946
112,1,Kempen,,51.36432,6.41858,0.78113181019774,0.62436615466985,0.11202535430266
113,1,Kempten,,49.96729,7.93702,0.76567735265744,0.64322483753933,0.13852713179664
114,1,Kiel,,54.32133,10.13489,0.81230071059362,0.58323884950259,0.17688719982745
115,1,Koblenz,,50.3567,7.59317,0.77003130391194,0.63800610576677,0.13252581716366
116,1,Kolin,,50.02814,15.20057,0.76636004662735,0.64241130044025,0.26529999467987
117,1,Kolmar,,-43.68833,171.73011,-0.69073514285395,0.72310784978904,2.997255844312
118,1,Komarno,,47.76356,18.12263,0.74037723355271,0.67219160366434,0.3162995626207
119,1,Komorn,,,,,,
120,1,Königgrätz,,-23.30939,29.21553,-0.39569601813679,0.91838154447413,0.50990719121518
121,1,Königsberg,,54.70649,20.51095,0.8162030398571,0.57776517524685,0.35798361021193
122,1,Königslutter,,,,,,
123,1,Kopys,,,,,,
124,1,Korets,,,,,,
125,1,Köslin,,,,,,
126,1,Köthen,,51.75185,11.97093,0.78533692014279,0.61906859220981,0.20893214302576
127,1,Krakow,,50.06143,19.93658,0.76673317113392,0.64196592143425,0.34795896258725
128,1,Kreisch,,51.21466,7.46724,0.77949826557159,0.62640438533816,0.13032792403662
129,1,Krossen an der Oder,,,,,,
130,1,Kuriz,,,,,,
131,1,Kurland,,55.375,13.08333,0.82288852161083,0.56820285198258,0.22834718562495
132,1,Kuttenplan,,,,,,
133,1,Landau,,-25.95,29.18333,-0.43758663419902,0.89917625500809,0.50934519519604
134,1,Landsberg/Warthe,,,,,,
135,1,Landshut,,48.53587,12.15227,0.74937040700769,0.66215103496191,0.21209712309133
136,1,Laszczow,,,,,,
137,1,Leiden,,52.15833,4.49306,0.78970904920017,0.61348155441819,0.078418690489656
138,1,Leipnik,,,,,,
139,1,Leipzig,,51.34198,12.37498,0.78088830637093,0.62467067561487,0.21598414586845
140,1,Lemberg,,49.16667,7.66667,0.75661482090758,0.653860851239,0.13380863416387
141,1,Lemgo,,52.02786,8.89901,0.7883100250474,0.61527823333007,0.1553170246679
142,1,Leslau,,,,,,
143,1,Lieben,,1.57556,11.91863,0.027495244035843,0.99962193431087,0.20801933582697
144,1,Liegnitz,,,,,,
145,1,Lille,,50.63297,3.05858,0.77309869172868,0.63428575015319,0.053382291435648
146,1,Lissa,,46.07397,11.62695,0.72023601849857,0.69372910970878,0.20292855946475
147,1,Livorno,,43.54264,10.31601,0.68889421471768,0.72486189093406,0.18004834016866
148,1,London,,51.50853,-0.12574,0.78270082603245,0.62239811770933,-0.0021945770014577
149,1,Lübeck,,53.86893,10.68729,0.80767025936777,0.58963442244564,0.18652839861546
150,1,Luneville,,48.6,6.5,0.75011106963046,0.66131186532365,0.11344640137963
151,1,Lviv,,,,,,
152,1,Magdeburg,,52.12773,11.62916,0.78938129403622,0.61390322741106,0.20296713124122
153,1,Mährisch Weißkirchen,,,,,,
154,1,Mainz,,50.00098,8.26882,0.7660554373919,0.64277450699472,0.14431813425476
155,1,Mannheim,,49.49671,8.47955,0.76036867217419,0.64949171078318,0.14799606658749
156,1,Mantua,,22.28259,-84.28173,0.37917500610388,0.92532497791107,-1.4709936877769
157,1,Marienwerder,,52.85,13.6,0.79705722692159,0.60390378125333,0.23736477827123
158,1,Mattersdorf,,,,,,
159,1,Medzeboz,,,,,,
160,1,Mesritsch,,,,,,
161,1,Metz,,49.11911,6.17269,0.75607180440967,0.65448867566728,0.10773376420493
162,1,Mezhirov,,49.07315,28.01338,0.75554656095195,0.65509495054815,0.48892571561233
163,1,Mikolajev,,,,,,
164,1,Minkowce,,53.36858,23.74338,0.80249039523627,0.59666503630892,0.41440015655217
165,1,Minsk,,53.9,27.56667,0.80798988389803,0.58919635735334,0.48112915531075
166,1,Mitau,,,,,,
167,1,Mohilev,,,,,,
168,1,Münden,,39.91389,-97.5381,0.64163559367611,0.76700962505559,-1.7023609911395
169,1,Munich,,48.13743,11.57549,0.74474766684907,0.66734617158028,0.20203041303168
170,1,Naarden,,52.29583,5.1625,0.79117902379347,0.61158462399672,0.090102622634207
171,1,Nachod,,50.4167,16.16289,0.77069900000456,0.63719938119239,0.28209564713767
172,1,Nancy,,48.69278,6.18361,0.75118095889929,0.66009633159649,0.10792435415925
173,1,Netivot,,31.42215,34.58858,0.52133956746851,0.85334931616059,0.60368460458946
174,1,Neubidschow,,,,,,
175,1,Neuhaus,,50.68333,10.93333,0.77365589710035,0.63360599182919,0.19082260670707
176,1,Neustrelitz,,53.3613,13.07292,0.80241457651734,0.59676699589748,0.22816549684982
177,1,Neuwied,,50.4336,7.47057,0.77088691521531,0.6369720276039,0.13038604350071
178,1,Neuzedlisch,,,,,,
179,1,New York,,43.00035,-75.4999,0.68200282763531,0.73134953551462,-1.3177218399265
180,1,Niederehnheim,,,,,,
181,1,Niederlande,,,,,,
182,1,Nikolsburg,,,,,,
183,1,Nimwegen,,,,,,
184,1,Nowy Dwor Mazowiecki,,52.43022,20.71652,0.7926113471862,0.60972719499107,0.36157148355526
185,1,Nuremberg,,49.45421,11.0775,0.75988669286043,0.65005554686784,0.19333884788967
186,1,Ofen,,47.56405,8.46115,0.73803210704744,0.67476559557161,0.14767492600512
187,1,Offenbach,,50.10061,8.76647,0.76717198097074,0.64144146390254,0.15300376527731
188,1,Oleksinets Novy,,,,,,
189,1,Opatow,,50.80058,21.42538,0.77495088664001,0.63202145793942,0.37394342449094
190,1,Padua,,-19.53583,34.63667,-0.33439627616842,0.94243256017855,0.60452393342674
191,1,Pardubitz,,,,,,
192,1,Paris,,48.8534,2.3486,0.75302848443074,0.65798791906534,0.040990802812339
193,1,Pest,,38.65,41.6,0.62456136433787,0.78097573725207,0.72605696882964
194,1,Pfalz,,49.68333,12.41667,0.76248011626943,0.64701164772649,0.2167117736336
195,1,Pinczow,,50.52052,20.52649,0.77185233994418,0.6358018286563,0.35825483437769
196,1,Piotrków,,51.05534,22.63017,0.7777534375349,0.62856947937571,0.39497097678605
197,1,Pirnitz,,47.41667,13.31667,0.73629399057908,0.67666177624951,0.23241973690155
198,1,Polen,,49.42497,13.17675,0.75955484829687,0.65044325842361,0.22997767221216
199,1,Polna,,49.487,15.71881,0.76025859094038,0.64962056225257,0.27434498899541
200,1,Porizk,,,,,,
201,1,Posen,,52.4069,16.92993,0.79236311599976,0.61004974584303,0.29548302063216
202,1,Potsdam,,52.39886,13.06566,0.79227750329046,0.61016092777221,0.22803878594612
203,1,Prag,,48.7043,13.48269,0.75131366395711,0.65994528436177,0.23531733252571
204,1,Prague,,50.08804,14.42076,0.76703123802209,0.64160975670442,0.2516897426399
205,1,Prenzlau,,53.31625,13.86261,0.8019451080506,0.59739772653879,0.24194818741989
206,1,Pressburg/Bratislava,,,,,,
207,1,Prossnitz,,,,,,
208,1,Przedbórz,,51.08789,19.87384,0.7781104052661,0.62812753260514,0.34686394301455
209,1,Ragendorf,,,,,,
210,1,Rakonitz,,,,,,
211,1,Ratibor,,49.36769,17.91499,0.7589042047135,0.65120227891813,0.31267556096186
212,1,Rawa,,11.72833,42.67889,0.20327144900668,0.97912242238584,0.74488715159648
213,1,Regensburg,,49.01681,12.09536,0.75490202879652,0.65583757662922,0.21110385621402
214,1,Reggio,,44.74009,7.97615,0.7038918787515,0.71030713288526,0.13921007913295
215,1,Reichenberg,,49.73193,9.91478,0.76302865660425,0.64636465652193,0.17304555561088
216,1,Reschow,,,,,,
217,1,Riga,,56.97778,24.12167,0.83845928724294,0.5449642406948,0.42100256257954
218,1,Rödelheim,,50.12542,8.6089,0.76744966357568,0.64110920589052,0.15025364997494
219,1,Rom,,46.29311,0.11561,0.7228840598717,0.69096934518356,0.0020177751482306
220,1,Rotenburg,,53.11125,9.41082,0.79980253530671,0.60026319603733,0.16424979431253
221,1,Rotterdam,,51.9225,4.47917,0.78717727069902,0.61672679891087,0.078176264256554
222,1,Rszesz?w,,,,,,
223,1,Samocz,,,,,,
224,1,Samuel de Waal,,,,,,
225,1,Sandersleben,,51.67745,11.56795,0.78453238224307,0.6200878495923,0.20189881520608
226,1,Satanow,,,,,,
227,1,Schklov,,,,,,
228,1,Schottland,,,,,,
229,1,Schotzlar,,,,,,
230,1,Schwedt,,,,,,
231,1,Schwerin,,53.62937,11.41316,0.80519788001582,0.59300621752055,0.19919722005692
232,1,Seelau,,,,,,
233,1,Seesen,,51.89095,10.17847,0.78683754991115,0.61716016563759,0.17764781431547
234,1,Senftenberg,,51.52517,14.00164,0.78288155161761,0.62217077730862,0.24437471867894
235,1,Shkloŭ,,,,,,
236,1,Siegen,,50.87481,8.02431,0.7757690564402,0.63101693405953,0.14005062970071
237,1,Slawkowiec,,,,,,
238,1,Slonim,,53.0869,25.3163,0.79954735862763,0.6006030480372,0.44185278942264
239,1,St. Petersburg,,,,,,
240,1,Stampfen,,46.93833,12.89778,0.73061921290012,0.68278515342764,0.22510872719787
241,1,Stargard,,53.28195,14.9663,0.80158733345725,0.59787770224428,0.26121121184123
242,1,Stettin,,-23.2879,29.2649,-0.39535153179231,0.91852989407502,0.51076886026689
243,1,Stockholm,,59.5,18.0,0.86162916044153,0.5075383629607,0.31415926535898
244,1,Stralsund,,54.30911,13.0818,0.81217629938417,0.5834120831099,0.22832048208739
245,1,Strasbourg,,48.58392,7.74553,0.74992544361561,0.66152235715653,0.135185000812
246,1,Strelitz,,,,,,
247,1,Stuttgart,,48.77667,9.1775,0.75214663785302,0.6589957778062,0.16017759210178
248,1,Sudilkov,,50.17218,27.12516,0.7679726273934,0.64048266453861,0.47342335213027
249,1,Sulzbach,,49.29882,7.05696,0.75812090614512,0.6521140173817,0.12316718718154
250,1,Szereszów,,,,,,
251,1,Tachau,,,,,,
252,1,Tarnau,,27.14057,74.12707,0.4561751349326,0.88989001919857,1.2937614363563
253,1,Tarnopol,,52.70003,-105.38386,0.79547379814957,0.60598798375669,-1.8392953354608
254,1,Tel Aviv,,32.08088,34.78057,0.53111585945978,0.84729920561175,0.60703546222036
255,1,Teplitz,,53.93171,11.71365,0.80831584727097,0.58874909006351,0.20444175992623
256,1,The Hague,,52.07667,4.29861,0.78883389151419,0.6146064526171,0.075024897759153
257,1,Tismenitsa,,,,,,
258,1,Torino,,45.05,7.66667,0.70772357893668,0.70648944494384,0.13380863416387
259,1,Trebitsch,,,,,,
260,1,Triesch,,50.98333,9.91667,0.77696283007332,0.62954647221984,0.17307854233375
261,1,Triest,,45.6433,13.7903,0.7150012304296,0.69912319406822,0.24068613983777
262,1,Troplowitz,,,,,,
263,1,Tschaslau,,,,,,
264,1,Tschoplowitz b. Brieg,,,,,,
265,1,Tschufut-Kale,,,,,,
266,1,Tübingen,,48.52266,9.05222,0.74921772287743,0.66232379069935,0.15799104361488
267,1,Turiisk,,,,,,
268,1,Turin,,45.07049,7.68682,0.7079761869924,0.70623630510736,0.13416031800815
269,1,Turnau,,47.59628,15.32825,0.7384115591453,0.67435033129717,0.26752843106882
270,1,Tysmienica,,51.63465,22.49859,0.78406895720352,0.62067372294127,0.39267447255627
271,1,Utrecht,,52.09083,5.12222,0.78898576041447,0.61441148252877,0.089399604011504
272,1,Venice,,45.43713,12.33265,0.71248092024102,0.70169148369672,0.21524534799608
273,1,Vienna,,48.20849,16.37208,0.74557475724899,0.66642199945163,0.28574670139991
274,1,Vilnius,,54.68916,25.2798,0.81602824845751,0.57801202212356,0.44121574424566
275,1,Wamburg,,,,,,
276,1,Warsaw,,52.22977,21.01178,0.7904733627193,0.61249641862728,0.36672474270469
277,1,Wasiliszki,,,,,,
278,1,Weikersheim,,49.47866,9.89977,0.76016402381898,0.64973121896007,0.17278358169016
279,1,Wien,,48.2082,16.37169,0.74557138417459,0.66642577313605,0.28573989461583
280,1,Witkowo,,52.43964,17.77264,0.79271158173095,0.60959687350708,0.31019108477164
281,1,Wohlin,,,,,,
282,1,Worms,,49.63278,8.35916,0.76190898454666,0.64768410453483,0.14589486470101
283,1,Wriezen,,52.72091,14.13425,0.79569458234124,0.60569805318558,0.24668919980001
284,1,Würzburg,,49.79391,9.95121,0.76372741826665,0.64553886837879,0.17368137905738
285,1,Zamosc,,50.72314,23.25196,0.77409594962819,0.63306829076272,0.40582325954202
286,1,Zell,,48.69235,8.06301,0.75117600491075,0.66010196912774,0.14072607212123
287,1,Zhovkva,,50.05825,23.9726,0.76669753990054,0.64200847526373,0.41840080026359
288,1,Zolochiv,,49.80597,24.89436,0.76386327869846,0.64537809960986,0.43448854717678
289,1,Zuellichau,,,,,,
290,1,Zülz,,,,,,
291,1,Zürich,,47.38283,8.53071,0.73589421259606,0.67709652773266,0.14888897703281
292,1,אבערראבבינער,,,,,,
293,1,אמשניץ,,,,,,
294,1,אפען,,,,,,
295,1,דיהרנפורט,,,,,,
296,1,דיניויץ,,,,,,
297,1,ווערדין,,,,,,
298,1,ויעלקאשט,,,,,,
299,1,ולאטאווי,,,,,,
300,1,זאמחוב,,,,,,
301,1,טורהאוויץ,,,,,,
302,1,טשערנאוויץ,,,,,,
303,1,יוזעפאף,,,,,,
304,1,לעטשוב=לאצוב,,,,,,
305,1,מיץ,,,,,,
306,1,נאווי דוואהר,,,,,,
307,1,סטאבנץ,,,,,,
308,1,קאסנטין הישנה,,,,,,
309,1,ראנינבורג,,,,,,
310,1,שערשאווי,,,,,,
311,1,שקוד האזפוט,,,,,,
