path,load_functions,to_arg_functions,access_callback,access_arguments,page_callback,page_arguments,delivery_callback,fit,number_parts,context,tab_parent,tab_root,title,title_callback,title_arguments,theme_callback,theme_arguments,type,description,position,weight,include_file
admin/appearance/settings/global,b'',b'',user_access,"b'a:1:{i:0;s:17:""administer themes"";}'",drupal_get_form,"b'a:1:{i:0;s:21:""system_theme_settings"";}'",,15,4,1,admin/appearance/settings,admin/appearance,Global settings,t,,,a:0:{},140,,,-1,modules/system/system.admin.inc
admin/appearance/settings/haskala_theme,b'',b'',_system_themes_access,"b'a:1:{i:0;O:8:""stdClass"":14:{s:8:""filename"";s:63:""profiles/haskala/themes/custom/haskala_theme/haskala_theme.info"";s:4:""name"";s:13:""haskala_theme"";s:4:""type"";s:5:""theme"";s:5:""owner"";s:45:""themes/engines/phptemplate/phptemplate.engine"";s:6:""status"";s:1:""1"";s:9:""bootstrap"";s:1:""0"";s:14:""schema_version"";s:2:""-1"";s:6:""weight"";s:1:""0"";s:4:""info"";a:16:{s:4:""name"";s:27:""Haskala Bootstrap Sub-theme"";s:11:""description"";s:22:""A Bootstrap Sub-theme."";s:4:""core"";s:3:""7.x"";s:10:""base theme"";s:9:""bootstrap"";s:7:""regions"";a:10:{s:10:""navigation"";s:10:""Navigation"";s:6:""header"";s:7:""Top Bar"";s:11:""highlighted"";s:11:""Highlighted"";s:4:""help"";s:4:""Help"";s:7:""content"";s:7:""Content"";s:13:""sidebar_first"";s:7:""Primary"";s:14:""sidebar_second"";s:9:""Secondary"";s:6:""footer"";s:6:""Footer"";s:8:""page_top"";s:8:""Page top"";s:11:""page_bottom"";s:11:""Page bottom"";}s:11:""stylesheets"";a:1:{s:3:""all"";a:2:{s:39:""../../../libraries/haskala/css/main.css"";s:84:""profiles/haskala/themes/custom/haskala_theme/../../../libraries/haskala/css/main.css"";s:44:""../../../libraries/haskala/css/ie_gte_10.css"";s:89:""profiles/haskala/themes/custom/haskala_theme/../../../libraries/haskala/css/ie_gte_10.css"";}}s:7:""plugins"";a:1:{s:6:""panels"";a:1:{s:7:""layouts"";s:7:""layouts"";}}s:8:""settings"";a:1:{s:25:""bootstrap_tooltip_enabled"";s:1:""0"";}s:6:""engine"";s:11:""phptemplate"";s:8:""features"";a:9:{i:0;s:4:""logo"";i:1;s:7:""favicon"";i:2;s:4:""name"";i:3;s:6:""slogan"";i:4;s:17:""node_user_picture"";i:5;s:20:""comment_user_picture"";i:6;s:25:""comment_user_verification"";i:7;s:9:""main_menu"";i:8;s:14:""secondary_menu"";}s:10:""screenshot"";s:59:""profiles/haskala/themes/custom/haskala_theme/screenshot.png"";s:3:""php"";s:5:""5.2.4"";s:7:""scripts"";a:0:{}s:5:""mtime"";i:1428502207;s:14:""regions_hidden"";a:2:{i:0;s:8:""page_top"";i:1;s:11:""page_bottom"";}s:28:""overlay_supplemental_regions"";a:1:{i:0;s:11:""page_bottom"";}}s:11:""base_themes"";a:1:{s:9:""bootstrap"";s:9:""Bootstrap"";}s:6:""prefix"";s:11:""phptemplate"";s:11:""stylesheets"";a:1:{s:3:""all"";a:2:{s:39:""../../../libraries/haskala/css/main.css"";s:84:""profiles/haskala/themes/custom/haskala_theme/../../../libraries/haskala/css/main.css"";s:44:""../../../libraries/haskala/css/ie_gte_10.css"";s:89:""profiles/haskala/themes/custom/haskala_theme/../../../libraries/haskala/css/ie_gte_10.css"";}}s:6:""engine"";s:11:""phptemplate"";s:10:""base_theme"";s:9:""bootstrap"";}}'",drupal_get_form,"b'a:2:{i:0;s:21:""system_theme_settings"";i:1;s:13:""haskala_theme"";}'",,15,4,1,admin/appearance/settings,admin/appearance,Haskala Bootstrap Sub-theme,t,,,a:0:{},132,,,0,modules/system/system.admin.inc
admin/appearance/settings/seven,b'',b'',_system_themes_access,"b'a:1:{i:0;O:8:""stdClass"":12:{s:8:""filename"";s:23:""themes/seven/seven.info"";s:4:""name"";s:5:""seven"";s:4:""type"";s:5:""theme"";s:5:""owner"";s:45:""themes/engines/phptemplate/phptemplate.engine"";s:6:""status"";s:1:""1"";s:9:""bootstrap"";s:1:""0"";s:14:""schema_version"";s:2:""-1"";s:6:""weight"";s:1:""0"";s:4:""info"";a:16:{s:4:""name"";s:5:""Seven"";s:11:""description"";s:65:""A simple one-column, tableless, fluid width administration theme."";s:7:""package"";s:4:""Core"";s:7:""version"";s:4:""7.36"";s:4:""core"";s:3:""7.x"";s:11:""stylesheets"";a:1:{s:6:""screen"";a:2:{s:9:""reset.css"";s:22:""themes/seven/reset.css"";s:9:""style.css"";s:22:""themes/seven/style.css"";}}s:8:""settings"";a:1:{s:20:""shortcut_module_link"";s:1:""1"";}s:7:""regions"";a:5:{s:7:""content"";s:7:""Content"";s:4:""help"";s:4:""Help"";s:8:""page_top"";s:8:""Page top"";s:11:""page_bottom"";s:11:""Page bottom"";s:13:""sidebar_first"";s:13:""First sidebar"";}s:14:""regions_hidden"";a:3:{i:0;s:13:""sidebar_first"";i:1;s:8:""page_top"";i:2;s:11:""page_bottom"";}s:6:""engine"";s:11:""phptemplate"";s:8:""features"";a:9:{i:0;s:4:""logo"";i:1;s:7:""favicon"";i:2;s:4:""name"";i:3;s:6:""slogan"";i:4;s:17:""node_user_picture"";i:5;s:20:""comment_user_picture"";i:6;s:25:""comment_user_verification"";i:7;s:9:""main_menu"";i:8;s:14:""secondary_menu"";}s:10:""screenshot"";s:27:""themes/seven/screenshot.png"";s:3:""php"";s:5:""5.2.4"";s:7:""scripts"";a:0:{}s:5:""mtime"";i:1428502207;s:28:""overlay_supplemental_regions"";a:1:{i:0;s:11:""page_bottom"";}}s:6:""prefix"";s:11:""phptemplate"";s:11:""stylesheets"";a:1:{s:6:""screen"";a:2:{s:9:""reset.css"";s:22:""themes/seven/reset.css"";s:9:""style.css"";s:22:""themes/seven/style.css"";}}s:6:""engine"";s:11:""phptemplate"";}}'",drupal_get_form,"b'a:2:{i:0;s:21:""system_theme_settings"";i:1;s:5:""seven"";}'",,15,4,1,admin/appearance/settings,admin/appearance,Seven,t,,,a:0:{},132,,,0,modules/system/system.admin.inc
admin/appearance/settings/stark,b'',b'',_system_themes_access,"b'a:1:{i:0;O:8:""stdClass"":12:{s:8:""filename"";s:23:""themes/stark/stark.info"";s:4:""name"";s:5:""stark"";s:4:""type"";s:5:""theme"";s:5:""owner"";s:45:""themes/engines/phptemplate/phptemplate.engine"";s:6:""status"";s:1:""0"";s:9:""bootstrap"";s:1:""0"";s:14:""schema_version"";s:2:""-1"";s:6:""weight"";s:1:""0"";s:4:""info"";a:15:{s:4:""name"";s:5:""Stark"";s:11:""description"";s:208:""This theme demonstrates Drupal\'s default HTML markup and CSS styles. To learn how to build your own theme and override Drupal\'s default code, see the <a href=""http://drupal.org/theme-guide"">Theming Guide</a>."";s:7:""package"";s:4:""Core"";s:7:""version"";s:4:""7.36"";s:4:""core"";s:3:""7.x"";s:11:""stylesheets"";a:1:{s:3:""all"";a:1:{s:10:""layout.css"";s:23:""themes/stark/layout.css"";}}s:6:""engine"";s:11:""phptemplate"";s:7:""regions"";a:9:{s:13:""sidebar_first"";s:12:""Left sidebar"";s:14:""sidebar_second"";s:13:""Right sidebar"";s:7:""content"";s:7:""Content"";s:6:""header"";s:6:""Header"";s:6:""footer"";s:6:""Footer"";s:11:""highlighted"";s:11:""Highlighted"";s:4:""help"";s:4:""Help"";s:8:""page_top"";s:8:""Page top"";s:11:""page_bottom"";s:11:""Page bottom"";}s:8:""features"";a:9:{i:0;s:4:""logo"";i:1;s:7:""favicon"";i:2;s:4:""name"";i:3;s:6:""slogan"";i:4;s:17:""node_user_picture"";i:5;s:20:""comment_user_picture"";i:6;s:25:""comment_user_verification"";i:7;s:9:""main_menu"";i:8;s:14:""secondary_menu"";}s:10:""screenshot"";s:27:""themes/stark/screenshot.png"";s:3:""php"";s:5:""5.2.4"";s:7:""scripts"";a:0:{}s:5:""mtime"";i:1428502207;s:14:""regions_hidden"";a:2:{i:0;s:8:""page_top"";i:1;s:11:""page_bottom"";}s:28:""overlay_supplemental_regions"";a:1:{i:0;s:11:""page_bottom"";}}s:6:""prefix"";s:11:""phptemplate"";s:11:""stylesheets"";a:1:{s:3:""all"";a:1:{s:10:""layout.css"";s:23:""themes/stark/layout.css"";}}s:6:""engine"";s:11:""phptemplate"";}}'",drupal_get_form,"b'a:2:{i:0;s:21:""system_theme_settings"";i:1;s:5:""stark"";}'",,15,4,1,admin/appearance/settings,admin/appearance,Stark,t,,,a:0:{},132,,,0,modules/system/system.admin.inc
admin/compact,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_compact_page,b'a:0:{}',,3,2,0,,admin/compact,Compact mode,t,,,a:0:{},0,,,0,modules/system/system.admin.inc
admin/config,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_config_page,b'a:0:{}',,3,2,0,,admin/config,Configuration,t,,,a:0:{},6,Administer settings.,,0,modules/system/system.admin.inc
admin/config/administration,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_menu_block_page,b'a:0:{}',,7,3,0,,admin/config/administration,Administration,t,,,a:0:{},6,Administration tools.,,0,modules/system/system.admin.inc
admin/config/administration/admin_menu,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:25:""admin_menu_theme_settings"";}'",,15,4,0,,admin/config/administration/admin_menu,Administration menu,t,,,a:0:{},6,Adjust administration menu settings.,,0,profiles/haskala/modules/contrib/admin_menu/admin_menu.inc
admin/config/content,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_menu_block_page,b'a:0:{}',,7,3,0,,admin/config/content,Content authoring,t,,,a:0:{},6,Settings related to formatting and authoring content.,left,-15,modules/system/system.admin.inc
admin/config/content/ckeditor,b'',b'',user_access,"b'a:1:{i:0;s:19:""administer ckeditor"";}'",ckeditor_admin_main,b'a:0:{}',,15,4,0,,admin/config/content/ckeditor,CKEditor,t,,,a:0:{},6,Configure the rich text editor.,,0,profiles/haskala/modules/contrib/ckeditor/includes/ckeditor.admin.inc
admin/config/content/ckeditor/add,b'',b'',user_access,"b'a:1:{i:0;s:19:""administer ckeditor"";}'",drupal_get_form,"b'a:2:{i:0;s:27:""ckeditor_admin_profile_form"";i:1;s:3:""add"";}'",,31,5,0,,admin/config/content/ckeditor/add,Add a new CKEditor profile,t,,,a:0:{},0,Configure the rich text editor.,,0,profiles/haskala/modules/contrib/ckeditor/includes/ckeditor.admin.inc
admin/config/content/ckeditor/addg,b'',b'',user_access,"b'a:1:{i:0;s:19:""administer ckeditor"";}'",drupal_get_form,"b'a:2:{i:0;s:34:""ckeditor_admin_global_profile_form"";i:1;s:3:""add"";}'",,31,5,0,,admin/config/content/ckeditor/addg,Add the CKEditor Global profile,t,,,a:0:{},0,Configure the rich text editor.,,0,profiles/haskala/modules/contrib/ckeditor/includes/ckeditor.admin.inc
admin/config/content/ckeditor/clone/%,"b'a:1:{i:5;s:21:""ckeditor_profile_load"";}'",b'',user_access,"b'a:1:{i:0;s:19:""administer ckeditor"";}'",drupal_get_form,"b'a:3:{i:0;s:33:""ckeditor_admin_profile_clone_form"";i:1;s:5:""clone"";i:2;i:5;}'",,62,6,0,,admin/config/content/ckeditor/clone/%,Clone the CKEditor profile,t,,,a:0:{},0,Configure the rich text editor.,,0,profiles/haskala/modules/contrib/ckeditor/includes/ckeditor.admin.inc
admin/config/content/ckeditor/delete/%,"b'a:1:{i:5;s:21:""ckeditor_profile_load"";}'",b'',user_access,"b'a:1:{i:0;s:19:""administer ckeditor"";}'",drupal_get_form,"b'a:2:{i:0;s:34:""ckeditor_admin_profile_delete_form"";i:1;i:5;}'",,62,6,0,,admin/config/content/ckeditor/delete/%,Delete the CKEditor profile,t,,,a:0:{},0,Configure the rich text editor.,,0,profiles/haskala/modules/contrib/ckeditor/includes/ckeditor.admin.inc
admin/config/content/ckeditor/edit/%,"b'a:1:{i:5;s:21:""ckeditor_profile_load"";}'",b'',user_access,"b'a:1:{i:0;s:19:""administer ckeditor"";}'",drupal_get_form,"b'a:3:{i:0;s:27:""ckeditor_admin_profile_form"";i:1;s:4:""edit"";i:2;i:5;}'",,62,6,0,,admin/config/content/ckeditor/edit/%,Edit the CKEditor profile,t,,,a:0:{},0,Configure the rich text editor.,,0,profiles/haskala/modules/contrib/ckeditor/includes/ckeditor.admin.inc
admin/config/content/ckeditor/editg,b'',b'',user_access,"b'a:1:{i:0;s:19:""administer ckeditor"";}'",drupal_get_form,"b'a:2:{i:0;s:34:""ckeditor_admin_global_profile_form"";i:1;s:4:""edit"";}'",,31,5,0,,admin/config/content/ckeditor/editg,Edit the CKEditor Global profile,t,,,a:0:{},0,Configure the rich text editor.,,0,profiles/haskala/modules/contrib/ckeditor/includes/ckeditor.admin.inc
admin/config/content/ckeditor/skinframe,b'',b'',user_access,"b'a:1:{i:0;s:19:""administer ckeditor"";}'",ckeditor_skinframe,b'a:0:{}',,31,5,0,,admin/config/content/ckeditor/skinframe,Change skin of CKEditor,t,,,a:0:{},0,Configure skin for CKEditor.,,0,profiles/haskala/modules/contrib/ckeditor/includes/ckeditor.admin.inc
admin/config/content/diff,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:19:""diff_admin_settings"";}'",,15,4,0,,admin/config/content/diff,Diff,t,,,a:0:{},6,Diff settings.,,0,profiles/haskala/modules/contrib/diff/diff.admin.inc
admin/config/content/diff/entities,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:2:{i:0;s:33:""diff_admin_global_entity_settings"";i:1;s:4:""node"";}'",,31,5,1,admin/config/content/diff,admin/config/content/diff,Entities,t,,,a:0:{},132,Entity settings.,,0,profiles/haskala/modules/contrib/diff/diff.admin.inc
